RedFighter,BlueFighter,RedOdds,BlueOdds,RedWinner,RedReturn,BlueReturn,OddsDiff,AgeDiff,ReachDiff,HeightDiff,WinsDiff,LossesDiff,RoundsDiff,TitleBoutDiff,KODiff,SubmissionDiff,WinStreakDiff,LoseStreakDiff,LongestWinStreakDiff,SigStrDiff,SubAttDiff,TDDiff,RankDiff,Date,TitleBout,WeightClass,Gender,NumberOfRounds,BlueCurrentLoseStreak,BlueCurrentWinStreak,BlueLongestWinStreak,BlueLosses,BlueTotalRoundsFought,BlueTotalTitleBouts,BlueWinsByKO,BlueWinsBySubmission,BlueWins,BlueStance,BlueHeightCms,BlueReachCms,RedCurrentLoseStreak,RedCurrentWinStreak,RedLongestWinStreak,RedLosses,RedTotalRoundsFought,RedTotalTitleBouts,RedWinsByKO,RedWinsBySubmission,RedWins,RedStance,RedHeightCms,RedReachCms,RedAge,BlueAge,BMatchWCRank,RMatchWCRank
Tagir Ulanbekov,Clayton Carpenter,-390,310,True,1.2564,0.0,-700,5,10.16,2.54,1,1,6,0,0,0,-1,0,-1,-0.65,0.2,0.74,-9,2025-01-18,False,Flyweight,MALE,3,0,3,3,0,6,0,0,2,3,Orthodox,167.64,167.64,0,2,2,1,12,0,0,2,4,Southpaw,170.18,177.8,33,28,20,11
Israel Adesanya,Nassourdine Imavov,-158,134,False,0.0,2.34,-292,7,12.7,2.54,6,2,32,12,2,0,-3,2,6,-0.25,-0.9,-0.69,-3,2025-02-01,False,Middleweight,MALE,5,0,3,3,2,32,0,3,0,7,Orthodox,190.5,190.5,2,0,9,4,64,12,5,0,13,Switch,193.04,203.2,35,28,5,2
Shara Magomedov,Michael Page,-112,-112,False,0.0,1.8929,0,-7,-15.24,-2.54,3,-1,5,0,2,0,4,-1,3,3.65,0.0,-0.19,-6,2025-02-01,False,Middleweight,MALE,3,1,0,1,1,6,0,0,0,1,Switch,190.5,200.66,0,4,4,0,11,0,2,0,4,Orthodox,187.96,185.42,30,37,20,14
Sergei Pavlovich,Jairzinho Rozenstruik,-250,205,True,1.4,0.0,-455,-4,15.24,2.54,-3,-2,-20,1,-2,0,-2,2,2,0.95,0.0,0.48,-5,2025-02-01,False,Heavyweight,MALE,3,0,2,4,5,31,0,8,0,9,Orthodox,187.96,198.12,2,0,6,3,11,1,6,0,6,Southpaw,190.5,213.36,32,36,9,4
Said Nurmagomedov,Vinicius Oliveira,-200,168,False,0.0,2.68,-368,3,0.0,-2.54,4,2,11,0,0,3,-2,0,1,-1.65,0.9,-0.59,-5,2025-02-01,False,Bantamweight,MALE,3,0,3,3,0,7,0,2,0,3,Switch,175.26,177.8,0,1,4,2,18,0,2,3,7,Orthodox,172.72,177.8,32,29,20,15
Fares Ziam,Mike Davis,122,-144,True,2.22,0.0,266,-5,7.62,2.54,2,0,6,0,0,-1,0,0,0,-1.86,-0.3,-0.67,0,2025-02-01,False,Lightweight,MALE,3,0,4,4,2,16,0,1,1,4,Orthodox,182.88,182.88,0,4,4,2,22,0,1,0,6,Orthodox,185.42,190.5,27,32,20,20
Muhammad Naimov,Kaan Ofli,-950,550,True,1.1053,0.0,-1500,-1,10.16,5.08,3,1,10,-1,2,0,0,0,3,0.18,-0.2,1.11,0,2025-02-01,False,Featherweight,MALE,3,1,0,0,1,2,1,0,0,0,Orthodox,170.18,167.64,1,0,3,2,12,0,2,0,3,Orthodox,175.26,177.8,30,31,20,20
Shamil Gaziev,Thomas Petersen,-340,275,True,1.2941,0.0,-615,5,10.16,7.62,1,0,2,0,1,0,0,0,1,-0.48,-0.1,-2.08,-6,2025-02-01,False,Heavyweight,MALE,3,0,1,1,1,8,0,0,1,2,Southpaw,185.42,187.96,0,1,2,1,10,0,1,1,3,Orthodox,193.04,198.12,34,29,20,14
Terrance McKinney,Damir Hadzovic,-590,430,True,1.1695,0.0,-1020,-8,7.62,2.54,1,0,-9,0,1,2,0,0,0,3.19,2.0,2.4,0,2025-02-01,False,Lightweight,MALE,3,1,0,2,5,22,0,2,0,4,Orthodox,175.26,177.8,1,0,2,5,13,0,3,2,5,Switch,177.8,185.42,30,38,20,20
Jasmine Jasudavicius,Mayra Bueno Silva,-250,205,True,1.4,0.0,-455,2,5.08,2.54,1,-2,0,-1,0,-3,3,-2,0,-0.01,-0.7,2.08,-8,2025-02-01,False,Women's Flyweight,FEMALE,3,2,0,3,4,27,1,0,5,6,Orthodox,167.64,167.64,0,3,3,2,27,0,0,2,7,Orthodox,170.18,172.72,35,33,20,12
Bogdan Grad,Lucas Alexander,100,-128,True,2.0,0.0,228,0,-7.62,-7.62,0,-1,-1,0,0,0,1,-1,0,-0.63,0.0,4.22,0,2025-02-01,False,Featherweight,MALE,3,1,0,1,2,5,0,0,0,1,Orthodox,180.34,185.42,0,1,1,1,4,0,0,0,1,Orthodox,172.72,177.8,29,29,20,20
