"date","weightclass","fighter","rank"
"2026-02-10","Women's Strawweight","Angela Hill","14"
"2026-02-10","Women's Strawweight","Mizuki","15"
"2026-02-10","Women's Flyweight","Valentina Shevchenko","0"
"2026-02-10","Women's Flyweight","Natalia Silva","1"
"2026-02-10","Women's Flyweight","Manon Fiorot","1"
"2026-02-10","Women's Flyweight","Alexa Grasso","3"
"2026-02-10","Women's Flyweight","Erin Blanchfield","4"
"2026-02-10","Women's Flyweight","Maycee Barber","5"
"2026-02-10","Women's Flyweight","Jasmine Jasudavicius","6"
"2026-02-10","Women's Flyweight","Rose Namajunas","7"
"2026-02-10","Women's Flyweight","Tracy Cortez","8"
"2026-02-10","Women's Flyweight","Karine Silva","9"
"2026-02-10","Women's Flyweight","Miranda Maverick","10"
"2026-02-10","Women's Flyweight","Wang Cong","11"
"2026-02-10","Women's Flyweight","Casey O'Neill","12"
"2026-02-10","Women's Flyweight","Eduarda Moura","13"
"2026-02-10","Women's Flyweight","JJ Aldrich","14"
"2026-02-10","Women's Flyweight","Gabriella Fernandes","15"
"2026-02-10","Women's Bantamweight","Kayla Harrison","0"
"2026-02-10","Women's Bantamweight","Julianna Pena","1"
"2026-02-10","Women's Bantamweight","Raquel Pennington","2"
"2026-02-10","Women's Bantamweight","Norma Dumont","3"
"2026-02-10","Women's Bantamweight","Ketlen Vieira","4"
"2026-02-10","Women's Bantamweight","Yana Santos","5"
"2026-02-10","Women's Bantamweight","Irene Aldana","6"
"2026-02-10","Women's Bantamweight","Ailin Perez","7"
"2026-02-10","Women's Bantamweight","Macy Chiasson","8"
"2026-02-10","Women's Bantamweight","Karol Rosa","9"
"2026-02-10","Women's Bantamweight","Jacqueline Cavalcanti","10"
"2026-02-10","Women's Bantamweight","Mayra Bueno Silva","11"
"2026-02-10","Women's Bantamweight","Nora Cornolle","12"
"2026-02-10","Women's Bantamweight","Miesha Tate","13"
"2026-02-10","Women's Bantamweight","Joselyne Edwards","14"
"2026-02-10","Women's Bantamweight","Luana Santos","15"
"2026-02-10","Men's Pound-for-Pound","Islam Makhachev","1"
"2026-02-10","Men's Pound-for-Pound","Ilia Topuria","2"
"2026-02-10","Men's Pound-for-Pound","Khamzat Chimaev","3"
"2026-02-10","Men's Pound-for-Pound","Alexander Volkanovski","4"
"2026-02-10","Men's Pound-for-Pound","Alex Pereira","5"
"2026-02-10","Men's Pound-for-Pound","Petr Yan","6"
"2026-02-10","Men's Pound-for-Pound","Merab Dvalishvili","7"
"2026-02-10","Men's Pound-for-Pound","Tom Aspinall","8"
"2026-02-10","Men's Pound-for-Pound","Alexandre Pantoja","9"
"2026-02-10","Men's Pound-for-Pound","Max Holloway","10"
"2026-02-10","Men's Pound-for-Pound","Joshua Van","11"
"2026-02-10","Men's Pound-for-Pound","Dricus Du Plessis","12"
"2026-02-10","Men's Pound-for-Pound","Magomed Ankalaev","13"
"2026-02-10","Men's Pound-for-Pound","Jack Della Maddalena","14"
"2026-02-10","Men's Pound-for-Pound","Arman Tsarukyan","15"
"2026-02-10","Women's Pound-for-Pound","Valentina Shevchenko","1"
"2026-02-10","Women's Pound-for-Pound","Kayla Harrison","2"
"2026-02-10","Women's Pound-for-Pound","Zhang Weili","3"
"2026-02-10","Women's Pound-for-Pound","Natalia Silva","4"
"2026-02-10","Women's Pound-for-Pound","Mackenzie Dern","5"
"2026-02-10","Women's Pound-for-Pound","Manon Fiorot","6"
"2026-02-10","Women's Pound-for-Pound","Erin Blanchfield","7"
"2026-02-10","Women's Pound-for-Pound","Julianna Pena","8"
"2026-02-10","Women's Pound-for-Pound","Alexa Grasso","9"
"2026-02-10","Women's Pound-for-Pound","Virna Jandiroba","10"
"2026-02-10","Women's Pound-for-Pound","Raquel Pennington","11"
"2026-02-10","Women's Pound-for-Pound","Tatiana Suarez","12"
"2026-02-10","Women's Pound-for-Pound","Rose Namajunas","13"
"2026-02-10","Women's Pound-for-Pound","Yan Xiaonan","14"
"2026-02-10","Women's Pound-for-Pound","Maycee Barber","15"
"2026-02-24","Flyweight","Joshua Van","0"
"2026-02-24","Flyweight","Alexandre Pantoja","1"
"2026-02-24","Flyweight","Manel Kape","2"
"2026-02-24","Flyweight","Tatsuro Taira","3"
"2026-02-24","Flyweight","Brandon Royval","4"
"2026-02-24","Flyweight","Kyoji Horiguchi","5"
"2026-02-24","Flyweight","Brandon Moreno","6"
"2026-02-24","Flyweight","Amir Albazi","7"
"2026-02-24","Flyweight","Asu Almabayev","8"
"2026-02-24","Flyweight","Tim Elliott","9"
"2026-02-24","Flyweight","Alex Perez","10"
"2026-02-24","Flyweight","Steve Erceg","11"
"2026-02-24","Flyweight","Tagir Ulanbekov","12"
"2026-02-24","Flyweight","Charles Johnson","13"
"2026-02-24","Flyweight","Bruno Gustavo da Silva","14"
"2026-02-24","Flyweight","Joseph Morales","15"
"2026-02-24","Bantamweight","Petr Yan","0"
"2026-02-24","Bantamweight","Merab Dvalishvili","1"
"2026-02-24","Bantamweight","Umar Nurmagomedov","2"
"2026-02-24","Bantamweight","Sean O'Malley","3"
"2026-02-24","Bantamweight","Cory Sandhagen","4"
"2026-02-24","Bantamweight","Song Yadong","5"
"2026-02-24","Bantamweight","Aiemann Zahabi","6"
"2026-02-24","Bantamweight","Deiveson Figueiredo","7"
"2026-02-24","Bantamweight","Mario Bautista","8"
"2026-02-24","Bantamweight","Marlon Vera","9"
"2026-02-24","Bantamweight","David Martinez","10"
"2026-02-24","Bantamweight","Payton Talbott","11"
"2026-02-24","Bantamweight","Vinicius Oliveira","12"
"2026-02-24","Bantamweight","Rob Font","13"
"2026-02-24","Bantamweight","Kyler Phillips","14"
"2026-02-24","Bantamweight","Montel Jackson","15"
"2026-02-24","Featherweight","Alexander Volkanovski","0"
"2026-02-24","Featherweight","Movsar Evloev","1"
"2026-02-24","Featherweight","Diego Lopes","2"
"2026-02-24","Featherweight","Lerone Murphy","3"
"2026-02-24","Featherweight","Yair Rodriguez","4"
"2026-02-24","Featherweight","Aljamain Sterling","5"
"2026-02-24","Featherweight","Jean Silva","6"
"2026-02-24","Featherweight","Arnold Allen","7"
"2026-02-24","Featherweight","Youssef Zalal","8"
"2026-02-24","Featherweight","Steve Garcia","9"
"2026-02-24","Featherweight","Brian Ortega","10"
"2026-02-24","Featherweight","Josh Emmett","11"
"2026-02-24","Featherweight","Patricio Freire","12"
"2026-02-24","Featherweight","Melquizael Costa","13"
"2026-02-24","Featherweight","Kevin Vallejos","14"
"2026-02-24","Featherweight","David Onama","15"
"2026-02-24","Lightweight","Ilia Topuria","0"
"2026-02-24","Lightweight","Justin Gaethje","1"
"2026-02-24","Lightweight","Arman Tsarukyan","2"
"2026-02-24","Lightweight","Charles Oliveira","3"
"2026-02-24","Lightweight","Max Holloway","4"
"2026-02-24","Lightweight","Benoit Saint Denis","5"
"2026-02-24","Lightweight","Paddy Pimblett","6"
"2026-02-24","Lightweight","Mateusz Gamrot","7"
"2026-02-24","Lightweight","Dan Hooker","8"
"2026-02-24","Lightweight","Mauricio Ruffy","9"
"2026-02-24","Lightweight","Renato Moicano","10"
"2026-02-24","Lightweight","Rafael Fiziev","11"
"2026-02-24","Lightweight","Beneil Dariush","12"
"2026-02-24","Lightweight","Michael Chandler","13"
"2026-02-24","Lightweight","Manuel Torres","14"
"2026-02-24","Lightweight","Fares Ziam","15"
"2026-02-24","Welterweight","Islam Makhachev","0"
"2026-02-24","Welterweight","Jack Della Maddalena","1"
"2026-02-24","Welterweight","Ian Machado Garry","2"
"2026-02-24","Welterweight","Michael Morales","3"
"2026-02-24","Welterweight","Belal Muhammad","4"
"2026-02-24","Welterweight","Carlos Prates","5"
"2026-02-24","Welterweight","Sean Brady","6"
"2026-02-24","Welterweight","Kamaru Usman","7"
"2026-02-24","Welterweight","Leon Edwards","8"
"2026-02-24","Welterweight","Joaquin Buckley","9"
"2026-02-24","Welterweight","Gabriel Bonfim","10"
"2026-02-24","Welterweight","Gilbert Burns","11"
"2026-02-24","Welterweight","Uros Medic","12"
"2026-02-24","Welterweight","Colby Covington","13"
"2026-02-24","Welterweight","Michael Page","14"
"2026-02-24","Welterweight","Daniel Rodriguez","15"
"2026-02-24","Middleweight","Khamzat Chimaev","0"
"2026-02-24","Middleweight","Dricus Du Plessis","1"
"2026-02-24","Middleweight","Nassourdine Imavov","2"
"2026-02-24","Middleweight","Sean Strickland","3"
"2026-02-24","Middleweight","Brendan Allen","4"
"2026-02-24","Middleweight","Israel Adesanya","5"
"2026-02-24","Middleweight","Anthony Hernandez","6"
"2026-02-24","Middleweight","Caio Borralho","7"
"2026-02-24","Middleweight","Reinier de Ridder","8"
"2026-02-24","Middleweight","Robert Whittaker","9"
"2026-02-24","Middleweight","Jared Cannonier","10"
"2026-02-24","Middleweight","Roman Dolidze","11"
"2026-02-24","Middleweight","Paulo Costa","12"
"2026-02-24","Middleweight","Gregory Rodrigues","13"
"2026-02-24","Middleweight","Joe Pyfer","14"
"2026-02-24","Middleweight","Brunno Ferreira","15"
"2026-02-24","Light Heavyweight","Alex Pereira","0"
"2026-02-24","Light Heavyweight","Magomed Ankalaev","1"
"2026-02-24","Light Heavyweight","Jiri Prochazka","2"
"2026-02-24","Light Heavyweight","Carlos Ulberg","3"
"2026-02-24","Light Heavyweight","Khalil Rountree Jr.","4"
"2026-02-24","Light Heavyweight","Jan Blachowicz","5"
"2026-02-24","Light Heavyweight","Azamat Murzakanov","6"
"2026-02-24","Light Heavyweight","Jamahal Hill","7"
"2026-02-24","Light Heavyweight","Volkan Oezdemir","8"
"2026-02-24","Light Heavyweight","Bogdan Guskov","9"
"2026-02-24","Light Heavyweight","Dominick Reyes","10"
"2026-02-24","Light Heavyweight","Aleksandar Rakic","11"
"2026-02-24","Light Heavyweight","Johnny Walker","12"
"2026-02-24","Light Heavyweight","Nikita Krylov","13"
"2026-02-24","Light Heavyweight","Dustin Jacoby","14"
"2026-02-24","Light Heavyweight","Zhang Mingyang","15"
"2026-02-24","Heavyweight","Tom Aspinall","0"
"2026-02-24","Heavyweight","Ciryl Gane","1"
"2026-02-24","Heavyweight","Alexander Volkov","2"
"2026-02-24","Heavyweight","Sergei Pavlovich","3"
"2026-02-24","Heavyweight","Curtis Blaydes","4"
"2026-02-24","Heavyweight","Waldo Cortes-Acosta","5"
"2026-02-24","Heavyweight","Serghei Spivac","6"
"2026-02-24","Heavyweight","Rizvan Kuniev","7"
"2026-02-24","Heavyweight","Marcin Tybura","8"
"2026-02-24","Heavyweight","Derrick Lewis","8"
"2026-02-24","Heavyweight","Ante Delija","10"
"2026-02-24","Heavyweight","Tallison Teixeira","11"
"2026-02-24","Heavyweight","Shamil Gaziev","12"
"2026-02-24","Heavyweight","Mick Parkin","13"
"2026-02-24","Heavyweight","Valter Walker","14"
"2026-02-24","Heavyweight","Vitor Petrino","15"
"2026-02-24","Women's Strawweight","Mackenzie Dern","0"
"2026-02-24","Women's Strawweight","Zhang Weili","1"
"2026-02-24","Women's Strawweight","Tatiana Suarez","2"
"2026-02-24","Women's Strawweight","Virna Jandiroba","3"
"2026-02-24","Women's Strawweight","Yan Xiaonan","4"
"2026-02-24","Women's Strawweight","Amanda Lemos","5"
"2026-02-24","Women's Strawweight","Loopy Godinez","6"
"2026-02-24","Women's Strawweight","Tabatha Ricci","7"
"2026-02-24","Women's Strawweight","Gillian Robertson","8"
"2026-02-24","Women's Strawweight","Jessica Andrade","9"
"2026-02-24","Women's Strawweight","Amanda Ribas","10"
"2026-02-24","Women's Strawweight","Fatima Kline","11"
"2026-02-24","Women's Strawweight","Denise Gomes","12"
"2026-02-24","Women's Strawweight","Alexia Thainara","13"
"2026-02-24","Women's Strawweight","Angela Hill","14"
"2026-02-24","Women's Strawweight","Mizuki","15"
"2026-02-24","Women's Flyweight","Valentina Shevchenko","0"
"2026-02-24","Women's Flyweight","Natalia Silva","1"
"2026-02-24","Women's Flyweight","Manon Fiorot","1"
"2026-02-24","Women's Flyweight","Alexa Grasso","3"
"2026-02-24","Women's Flyweight","Erin Blanchfield","4"
"2026-02-24","Women's Flyweight","Maycee Barber","5"
"2026-02-24","Women's Flyweight","Jasmine Jasudavicius","6"
"2026-02-24","Women's Flyweight","Rose Namajunas","7"
"2026-02-24","Women's Flyweight","Tracy Cortez","8"
"2026-02-24","Women's Flyweight","Karine Silva","9"
"2026-02-24","Women's Flyweight","Miranda Maverick","10"
"2026-02-24","Women's Flyweight","Wang Cong","11"
"2026-02-24","Women's Flyweight","Casey O'Neill","12"
"2026-02-24","Women's Flyweight","Eduarda Moura","13"
"2026-02-24","Women's Flyweight","Gabriella Fernandes","14"
"2026-02-24","Women's Flyweight","JJ Aldrich","15"
"2026-02-24","Women's Bantamweight","Kayla Harrison","0"
"2026-02-24","Women's Bantamweight","Julianna Pena","1"
"2026-02-24","Women's Bantamweight","Raquel Pennington","2"
"2026-02-24","Women's Bantamweight","Norma Dumont","3"
"2026-02-24","Women's Bantamweight","Ketlen Vieira","4"
"2026-02-24","Women's Bantamweight","Yana Santos","5"
"2026-02-24","Women's Bantamweight","Irene Aldana","6"
"2026-02-24","Women's Bantamweight","Ailin Perez","7"
"2026-02-24","Women's Bantamweight","Macy Chiasson","8"
"2026-02-24","Women's Bantamweight","Karol Rosa","9"
"2026-02-24","Women's Bantamweight","Jacqueline Cavalcanti","10"
"2026-02-24","Women's Bantamweight","Joselyne Edwards","11"
"2026-02-24","Women's Bantamweight","Mayra Bueno Silva","12"
"2026-02-24","Women's Bantamweight","Nora Cornolle","13"
"2026-02-24","Women's Bantamweight","Miesha Tate","14"
"2026-02-24","Women's Bantamweight","Luana Santos","15"
"2026-02-24","Men's Pound-for-Pound","Islam Makhachev","1"
"2026-02-24","Men's Pound-for-Pound","Ilia Topuria","2"
"2026-02-24","Men's Pound-for-Pound","Khamzat Chimaev","3"
"2026-02-24","Men's Pound-for-Pound","Alexander Volkanovski","4"
"2026-02-24","Men's Pound-for-Pound","Alex Pereira","5"
"2026-02-24","Men's Pound-for-Pound","Petr Yan","6"
"2026-02-24","Men's Pound-for-Pound","Merab Dvalishvili","7"
"2026-02-24","Men's Pound-for-Pound","Tom Aspinall","8"
"2026-02-24","Men's Pound-for-Pound","Alexandre Pantoja","9"
"2026-02-24","Men's Pound-for-Pound","Max Holloway","10"
"2026-02-24","Men's Pound-for-Pound","Joshua Van","11"
"2026-02-24","Men's Pound-for-Pound","Dricus Du Plessis","12"
"2026-02-24","Men's Pound-for-Pound","Magomed Ankalaev","13"
"2026-02-24","Men's Pound-for-Pound","Jack Della Maddalena","14"
"2026-02-24","Men's Pound-for-Pound","Arman Tsarukyan","15"
"2026-02-24","Women's Pound-for-Pound","Valentina Shevchenko","1"
"2026-02-24","Women's Pound-for-Pound","Kayla Harrison","2"
"2026-02-24","Women's Pound-for-Pound","Zhang Weili","3"
"2026-02-24","Women's Pound-for-Pound","Natalia Silva","4"
"2026-02-24","Women's Pound-for-Pound","Mackenzie Dern","5"
"2026-02-24","Women's Pound-for-Pound","Manon Fiorot","6"
"2026-02-24","Women's Pound-for-Pound","Erin Blanchfield","7"
"2026-02-24","Women's Pound-for-Pound","Julianna Pena","8"
"2026-02-24","Women's Pound-for-Pound","Alexa Grasso","9"
"2026-02-24","Women's Pound-for-Pound","Virna Jandiroba","10"
"2026-02-24","Women's Pound-for-Pound","Raquel Pennington","11"
"2026-02-24","Women's Pound-for-Pound","Tatiana Suarez","12"
"2026-02-24","Women's Pound-for-Pound","Rose Namajunas","13"
"2026-02-24","Women's Pound-for-Pound","Yan Xiaonan","14"
"2026-02-24","Women's Pound-for-Pound","Maycee Barber","15"
"2026-03-03","Flyweight","Joshua Van","0"
"2026-03-03","Flyweight","Alexandre Pantoja","1"
"2026-03-03","Flyweight","Manel Kape","2"
"2026-03-03","Flyweight","Tatsuro Taira","3"
"2026-03-03","Flyweight","Brandon Royval","4"
"2026-03-03","Flyweight","Kyoji Horiguchi","5"
"2026-03-03","Flyweight","Lone'er Kavanagh","6"
"2026-03-03","Flyweight","Brandon Moreno","7"
"2026-03-03","Flyweight","Amir Albazi","7"
"2026-03-03","Flyweight","Asu Almabayev","9"
"2026-03-03","Flyweight","Alex Perez","10"
"2026-03-03","Flyweight","Tim Elliott","11"
"2026-03-03","Flyweight","Steve Erceg","12"
"2026-03-03","Flyweight","Tagir Ulanbekov","13"
"2026-03-03","Flyweight","Charles Johnson","14"
"2026-03-03","Flyweight","Bruno Gustavo da Silva","15"
"2026-03-03","Bantamweight","Petr Yan","0"
"2026-03-03","Bantamweight","Merab Dvalishvili","1"
"2026-03-03","Bantamweight","Umar Nurmagomedov","2"
"2026-03-03","Bantamweight","Sean O'Malley","3"
"2026-03-03","Bantamweight","Cory Sandhagen","4"
