Date,RedFighter,BlueFighter,WeightClass,RedOdds,BlueOdds
2024-08-03,Azamat Murzakanov,Alonzo Menifield,Light Heavyweight,-298,240
2024-08-03,Mohammad Yahya,Kaue Fernandes,Lightweight,250,-345
2024-08-03,Shamil Gaziev,Don'Tale Mayes,Heavyweight,-1450,750
2024-08-03,Guram Kutateladze,Jordan Vucenic,Lightweight,-160,124
2024-08-03,Viktoriia Dudakova,Sam Hughes,Women's Strawweight,-230,175
2024-08-03,Jai Herbert,Rolando Bedoya,Lightweight,-120,-110
2024-08-03,Sedriques Dumas,Denis Tiuliulin,Middleweight,-238,195
2024-07-27,Leon Edwards,Belal Muhammad,Welterweight,-270,200
2024-07-27,Tom Aspinall,Curtis Blaydes,Heavyweight,-425,300
2024-07-27,King Green,Paddy Pimblett,Lightweight,150,-195
2024-07-27,Christian Leroy Duncan,Gregory Rodrigues,Middleweight,-120,100
2024-07-27,Arnold Allen,Giga Chikadze,Featherweight,-270,220
2024-07-27,Nathaniel Wood,Daniel Pineda,Featherweight,-475,325
2024-07-27,Molly McCann,Bruna Brasil,Women's Strawweight,-345,250
2024-07-27,Jake Hadley,Caolan Loughran,Bantamweight,195,-238
2024-07-27,Muhammad Mokaev,Manel Kape,Flyweight,-220,170
2024-07-27,Oban Elliott,Preston Parsons,Welterweight,140,-180
2024-07-27,Modestas Bukauskas,Marcin Prachnio,Light Heavyweight,-154,120
2024-07-27,Sam Patterson,Kiefer Crosbie,Welterweight,-485,370
2024-07-27,Mick Parkin,Lukasz Brzeski,Heavyweight,-600,390
2024-07-27,Shauna Bannon,Alice Ardelean,Women's Strawweight,-230,175
2024-07-20,Amanda Lemos,Virna Jandiroba,Women's Strawweight,-110,-120
2024-07-20,Steve Garcia,SeungWoo Choi,Featherweight,-175,145
2024-07-20,Kurt Holobaugh,Kaynan Kruschewsky,Lightweight,124,-160
2024-07-20,Cody Durden,Bruno Silva,Flyweight,124,-160
2024-07-20,Dooho Choi,Bill Algeo,Featherweight,190,-230
2024-07-20,JeongYeong Lee,Hyder Amil,Featherweight,-218,180
2024-07-20,Brian Kelleher,Cody Gibson,Bantamweight,180,-218
2024-07-20,Miranda Maverick,Dione Barbosa,Women's Flyweight,-230,190
2024-07-20,Loik Radzhabov,Trey Ogden,Lightweight,-135,114
2024-07-20,Luana Carolina,Lucie Pudilova,Women's Flyweight,-135,114
2024-07-20,Mohammed Usman,Thomas Petersen,Heavyweight,-140,110
2024-07-13,Rose Namajunas,Tracy Cortez,Women's Flyweight,-270,200
2024-07-13,Santiago Ponzinibbio,Muslim Salikhov,Welterweight,-188,145
2024-07-13,Drew Dober,Jean Silva,Lightweight,-110,-110
2024-07-13,Gabriel Bonfim,Ange Loosa,Welterweight,-410,320
2024-07-13,Julian Erosa,Christian Rodriguez,Featherweight,220,-270
2024-07-13,Joshua Van,Charles Johnson,Flyweight,-270,220
2024-07-13,Jasmine Jasudavicius,Fatima Kline,Women's Flyweight,-160,124
2024-07-13,Montel Jackson,Da'Mon Blackshear,Bantamweight,-115,-105
2024-07-13,Luana Santos,Mariya Agapova,Women's Flyweight,-425,300
2024-07-13,Josh Fremd,Andre Petroski,Middleweight,-110,-120
2024-07-13,Evan Elder,Darrius Flowers,Welterweight,-625,455
2024-06-29,Alex Pereira,Jiri Prochazka,Light Heavyweight,-145,114
2024-06-29,Dan Ige,Diego Lopes,Catch Weight,240,-298
2024-06-29,Anthony Smith,Roman Dolidze,Light Heavyweight,114,-145
2024-06-29,Mayra Bueno Silva,Macy Chiasson,Women's Bantamweight,-105,-125
2024-06-29,Ian Machado Garry,Michael Page,Welterweight,-200,154
2024-06-29,Joe Pyfer,Marc-Andre Barriault,Middleweight,-345,250
2024-06-29,Cub Swanson,Andre Fili,Featherweight,180,-238
2024-06-29,Charles Jourdain,Jean Silva,Featherweight,-135,114
2024-06-29,Payton Talbott,Yanis Ghemmouri,Bantamweight,-1750,850
2024-06-29,Michelle Waterson-Gomez,Gillian Robertson,Women's Strawweight,160,-192
2024-06-29,Andrei Arlovski,Martin Buday,Heavyweight,210,-280
2024-06-29,Rei Tsuruya,Carlos Hernandez,Flyweight,-445,310
2024-06-29,Ricky Simon,Vinicius Oliveira,Bantamweight,-270,200
2024-06-22,Robert Whittaker,Ikram Aliskerov,Middleweight,-130,100
2024-06-22,Sergei Pavlovich,Alexander Volkov,Heavyweight,-238,180
2024-06-22,Kelvin Gastelum,Daniel Rodriguez,Middleweight,-220,170
2024-06-22,Shara Magomedov,Antonio Trocoli,Middleweight,-810,500
2024-06-22,Johnny Walker,Volkan Oezdemir,Light Heavyweight,-130,110
2024-06-22,Nasrat Haqparast,Jared Gordon,Lightweight,-250,205
2024-06-22,Muhammad Naimov,Felipe Lima,Featherweight,-135,114
2024-06-22,Rinat Fakhretdinov,Nicolas Dalby,Welterweight,-395,310
2024-06-22,Kyung Ho Kang,Muin Gafurov,Bantamweight,150,-195
2024-06-22,Magomed Gadzhiyasulov,Brendson Ribeiro,Light Heavyweight,-410,290
2024-06-22,Xiao Long,ChangHo Lee,Bantamweight,-140,110
2024-06-15,Alex Perez,Tatsuro Taira,Flyweight,195,-260
2024-06-15,Douglas Silva de Andrade,Miles Johns,Bantamweight,140,-282
2024-06-15,Timmy Cuamba,Lucas Almeida,Featherweight,-198,164
2024-06-15,Brady Hiestand,Garrett Armfield,Bantamweight,230,-285
2024-06-15,Asu Almabayev,Jose Johnson,Flyweight,-395,310
2024-06-15,Josh Quinlan,Adam Fugitt,Welterweight,-145,114
2024-06-15,Jimmy Flick,Nate Maness,Flyweight,450,-720
2024-06-15,Carli Judice,Gabriella Fernandes,Women's Flyweight,136,-162
2024-06-15,Jeka Saragih,Westin Wilson,Featherweight,-360,260
2024-06-15,Melquizael Costa,Shayilan Nuerdanbieke,Featherweight,-238,180
2024-06-15,Josefine Knutsson,Julia Polastri,Women's Strawweight,-215,165
2024-06-08,Jared Cannonier,Nassourdine Imavov,Middleweight,110,-130
2024-06-08,Dominick Reyes,Dustin Jacoby,Light Heavyweight,190,-250
2024-06-08,Raul Rosas Jr.,Ricky Turcios,Bantamweight,-298,220
2024-06-08,Brunno Ferreira,Dustin Stoltzfus,Middleweight,-285,230
2024-06-08,Julian Marquez,Zachary Reese,Middleweight,-145,114
2024-06-08,Miguel Baeza,Punahele Soriano,Welterweight,-192,160
2024-06-08,Thiago Moises,Ludovit Klein,Lightweight,-102,-118
2024-06-08,Charles Radtke,Carlos Prates,Welterweight,205,-250
2024-06-08,Brad Katona,Jesse Butler,Bantamweight,-750,525
2024-06-08,Andrea Lee,Montana De La Rosa,Women's Flyweight,-170,142
2024-06-08,John Castaneda,Daniel Marcos,Bantamweight,114,-145
2024-06-08,Eduarda Moura,Denise Gomes,Women's Strawweight,-218,180
2024-06-08,Cody Stamann,Taylor Lapilus,Bantamweight,220,-270
2024-06-08,Rayanne dos Santos,Puja Tomar,Women's Strawweight,-355,280
2024-06-01,Islam Makhachev,Dustin Poirier,Lightweight,-425,330
2024-06-01,Sean Strickland,Paulo Costa,Middleweight,-195,150
2024-06-01,Kevin Holland,Michal Oleksiejczuk,Middleweight,-325,260
2024-06-01,Niko Price,Alex Morono,Welterweight,230,-285
2024-06-01,Randy Brown,Elizeu Zaleski dos Santos,Welterweight,-180,150
2024-06-01,Cesar Almeida,Roman Kopylov,Middleweight,-115,-105
2024-06-01,Jailton Almeida,Alexandr Romanov,Heavyweight,-395,310
2024-06-01,Grant Dawson,Joe Solecki,Lightweight,-500,380
2024-06-01,Phil Rowe,Jake Matthews,Welterweight,145,-175
2024-06-01,Mickey Gall,Bassil Hafez,Welterweight,330,-425
2024-06-01,Ailin Perez,Joselyne Edwards,Women's Bantamweight,-205,170
2024-06-01,Mitch Raposo,Andre Lima,Flyweight,260,-325
2024-05-18,Edson Barboza,Lerone Murphy,Featherweight,130,-166
2024-05-18,Khaos Williams,Carlston Harris,Welterweight,-122,102
2024-05-18,Themba Gorimbo,Ramiz Brahimaj,Welterweight,-122,102
2024-05-18,Adrian Yanez,Vinicius Salvador,Bantamweight,-500,380
2024-05-18,Luana Pinheiro,Angela Hill,Women's Strawweight,110,-130
2024-05-18,Victor Martinez,Tom Nolan,Lightweight,370,560
2024-05-18,Oumar Sy,Tuco Tokkos,Light Heavyweight,-575,425
2024-05-18,Tamires Vidal,Melissa Gatto,Women's Bantamweight,310,-395
2024-05-18,Abus Magomedov,Warlley Alves,Middleweight,-345,250
2024-05-18,Piera Rodriguez,Ariane Carnelossi,Women's Strawweight,-218,180
2024-05-18,Alatengheili,Kleydson Rodrigues,Bantamweight,140,-166
2024-05-18,Vanessa Demopoulos,Emily Ducote,Women's Strawweight,295,-375
2024-05-11,Derrick Lewis,Rodrigo Nascimento,Heavyweight,-175,135
2024-05-11,Joaquin Buckley,Nursulton Ruziboev,Welterweight,-142,120
2024-05-11,Alonzo Menifield,Carlos Ulberg,Light Heavyweight,210,-258
2024-05-11,Diego Ferreira,Mateusz Rebecki,Lightweight,340,-440
2024-05-11,Alex Caceres,Sean Woodson,Featherweight,220,-298
2024-05-11,Waldo Cortes-Acosta,Robelis Despaigne,Heavyweight,190,-230
2024-05-11,Chase Hooper,Viacheslav Borshchev,Lightweight,-110,-120
2024-05-11,Terrance McKinney,Esteban Ribovics,Lightweight,120,-150
2024-05-11,Tabatha Ricci,Tecia Pennington,Women's Strawweight,-152,128
2024-05-11,Billy Ray Goff,Trey Waters,Welterweight,130,-166
2024-05-11,Charles Johnson,Jake Hadley,Flyweight,-118,-102
2024-05-11,JJ Aldrich,Veronica Hardy,Women's Flyweight,-102,-118
2024-05-04,Alexandre Pantoja,Steve Erceg,Flyweight,-180,150
2024-05-04,Jose Aldo,Jonathan Martinez,Bantamweight,140,-166
2024-05-04,Anthony Smith,Vitor Petrino,Light Heavyweight,320,-410
2024-05-04,Michel Pereira,Ihor Potieria,Middleweight,-485,370
2024-05-04,Paul Craig,Caio Borralho,Middleweight,390,-520
2024-05-04,Jack Shore,Joanderson Brito,Featherweight,180,-218
2024-05-04,Karolina Kowalkiewicz,Iasmin Lucindo,Women's Strawweight,280,-355
2024-05-04,Elves Brener,Myktybek Orolbai,Lightweight,205,-250
2024-05-04,Joaquim Silva,Drakkar Klose,Lightweight,154,-200
2024-05-04,Mauricio Ruffy,Jamie Mullarkey,Lightweight,-258,210
2024-05-04,Dione Barbosa,Ernesta Kareckaite,Women's Flyweight,-238,180
2024-05-04,Ismael Bonfim,Vinc Pichel,Lightweight,-575,425
2024-05-04,Alessandro Costa,Kevin Borjas,Flyweight,-130,110
2024-04-27,Matheus Nicolau,Alex Perez,Flyweight,-175,145
2024-04-27,Ryan Spann,Bogdan Guskov,Light Heavyweight,-185,154
2024-04-27,Ariane da Silva,Karine Silva,Women's Flyweight,145,-175
