RedFighter,BlueFighter,RedOdds,BlueOdds,RedWinner,RedReturn,BlueReturn,OddsDiff,AgeDiff,ReachDiff,HeightDiff,WinsDiff,LossesDiff,RoundsDiff,TitleBoutDiff,KODiff,SubmissionDiff,WinStreakDiff,LoseStreakDiff,LongestWinStreakDiff,SigStrDiff,SubAttDiff,TDDiff,RankDiff,Date,TitleBout,WeightClass,Gender,NumberOfRounds,BlueCurrentLoseStreak,BlueCurrentWinStreak,BlueLongestWinStreak,BlueLosses,BlueTotalRoundsFought,BlueTotalTitleBouts,BlueWinsByKO,BlueWinsBySubmission,BlueWins,BlueStance,BlueHeightCms,BlueReachCms,RedCurrentLoseStreak,RedCurrentWinStreak,RedLongestWinStreak,RedLosses,RedTotalRoundsFought,RedTotalTitleBouts,RedWinsByKO,RedWinsBySubmission,RedWins,RedStance,RedHeightCms,RedReachCms,RedAge,BlueAge,BMatchWCRank,RMatchWCRank
Terrance McKinney,Damir Hadzovic,-590.0,430.0,True,1.1695,0.0,-1020.0,-8,7.62,2.54,1,0,-9,0,1,2,0,0,0,3.19,2.0,2.4,0,2025-02-01,False,Lightweight,MALE,3,1,0,2,5,22,0,2,0,4,Orthodox,175.26,177.8,1,0,2,5,13,0,3,2,5,Switch,177.8,185.42,30,38,20,20
Jasmine Jasudavicius,Mayra Bueno Silva,-250.0,205.0,True,1.4,0.0,-455.0,2,5.08,2.54,1,-2,0,-1,0,-3,3,-2,0,-0.05,-0.8,2.17,-8,2025-02-01,False,Women's Flyweight,FEMALE,3,2,0,3,4,27,1,0,5,6,Orthodox,167.64,167.64,0,3,3,2,27,0,0,2,7,Orthodox,170.18,172.72,35,33,20,12
Bogdan Grad,Lucas Alexander,100.0,-128.0,True,2.0,0.0,228.0,0,-7.62,-7.62,0,-1,-1,0,0,0,1,-1,0,-0.63,0.0,4.22,0,2025-02-01,False,Featherweight,MALE,3,1,0,1,2,5,0,0,0,1,Orthodox,180.34,185.42,0,1,1,1,4,0,0,0,1,Orthodox,172.72,177.8,29,29,20,20
Hamdy Abdelwahab,Jamal Pogues,-130.0,110.0,True,1.7692,0.0,-240.0,3,-12.7,-2.54,-4,-1,-12,0,0,0,-1,0,-3,0.7,0.0,1.25,0,2025-02-01,False,Heavyweight,MALE,3,0,1,3,1,15,0,0,0,4,Orthodox,190.5,195.58,0,0,0,0,3,0,0,0,0,Southpaw,187.96,182.88,32,29,20,20
Dricus Du Plessis,Sean Strickland,-215.0,180.0,True,1.4651,0.0,-395.0,-2,0.0,0.0,-8,-6,-49,0,0,1,7,0,2,-0.86,0.5,1.51,-1,2025-02-08,True,Middleweight,MALE,5,0,1,6,6,71,2,4,1,16,Orthodox,185.42,193.04,0,8,8,0,22,2,4,2,8,Switch,185.42,193.04,31,33,1,0
Zhang Weili,Tatiana Suarez,108.0,-126.0,True,2.08,0.0,234.0,1,-7.62,-2.54,2,2,18,6,1,-2,-3,0,-2,1.8,-0.2,-2.56,-1,2025-02-08,True,Women's Strawweight,FEMALE,5,0,7,7,0,15,1,1,4,7,Southpaw,165.1,167.64,0,4,5,2,33,7,2,2,9,Switch,162.56,160.02,35,34,1,0
Justin Tafa,Tallison Teixeira,136.0,-158.0,False,0.0,1.6329,294.0,6,-22.86,-17.78,3,4,14,0,3,0,-1,1,1,-0.97,0.0,-2.48,0,2025-02-08,False,Heavyweight,MALE,3,0,1,1,0,1,0,1,0,1,Orthodox,200.66,210.82,1,0,2,4,15,0,4,0,4,Southpaw,182.88,187.96,31,25,20,20
Jimmy Crute,Rodolfo Bellato,124.0,-146.0,False,0.0,1.6849,270.0,-1,-2.54,-2.54,3,3,9,0,1,2,-2,1,1,-1.22,1.8,3.01,0,2025-02-08,False,Light Heavyweight,MALE,3,0,2,2,1,6,0,2,0,2,Orthodox,190.5,190.5,1,0,3,4,15,0,3,2,5,Orthodox,187.96,187.96,28,29,20,20
Jake Matthews,Francisco Prado,-240.0,198.0,True,1.4167,0.0,-438.0,8,10.16,2.54,12,5,43,0,1,5,1,-1,2,-0.34,0.0,0.68,0,2025-02-08,False,Welterweight,MALE,3,1,0,1,2,7,0,1,0,1,Orthodox,177.8,175.26,0,1,3,7,50,0,2,5,13,Orthodox,180.34,185.42,30,22,20,20
Jack Jenkins,Gabriel Santos,190.0,-230.0,False,0.0,1.4348,420.0,3,-5.08,-5.08,3,-1,6,0,2,0,0,0,2,0.13,-1.0,-1.82,0,2025-02-08,False,Featherweight,MALE,3,0,1,1,2,8,0,0,0,1,Orthodox,175.26,177.8,0,1,3,1,14,0,2,0,4,Switch,170.18,172.72,31,28,20,20
