,RedFighter,BlueFighter,Finish,FinishRound,RedOdds,BlueOdds,Date,Winner,TitleBout,WeightClass,Gender,NumberOfRounds,BlueCurrentLoseStreak,BlueCurrentWinStreak,BlueLongestWinStreak,BlueLosses,BlueTotalRoundsFought,BlueTotalTitleBouts,BlueWinsByKO,BlueWinsBySubmission,BlueWins,BlueStance,BlueHeightCms,BlueReachCms,BlueAge,BMatchWCRank,RedCurrentLoseStreak,RedCurrentWinStreak,RedLongestWinStreak,RedLosses,RedTotalRoundsFought,RedTotalTitleBouts,RedWinsByKO,RedWinsBySubmission,RedWins,RedStance,RedHeightCms,RedReachCms,RedAge,RMatchWCRank,BetterRank
3873,Jason Gonzalez,JC Cottrell,SUB,1.0,105,-125,1/28/2017,Red,False,Lightweight,MALE,3,1,0,0,1,3,0,0,0,0,Orthodox,175.26,180.34,27,,1,0,0,1,1,0,0,0,0,Southpaw,187.96,187.96,26,,neither
3874,Yair Rodriguez,BJ Penn,KO/TKO,2.0,-350,290,1/15/2017,Red,False,Featherweight,MALE,5,4,0,3,11,68,11,6,4,12,Orthodox,175.26,177.8,38,,0,5,5,0,16,1,1,0,5,Orthodox,180.34,180.34,24,10.0,Red
3875,Joe Lauzon,Marcin Held,S-DEC,3.0,-140,120,1/15/2017,Red,False,Lightweight,MALE,3,1,0,0,1,3,0,0,0,0,Orthodox,175.26,180.34,24,,1,0,3,9,43,0,4,7,13,Orthodox,177.8,180.34,32,,neither
3876,Court McGee,Ben Saunders,U-DEC,3.0,-135,115,1/15/2017,Blue,False,Welterweight,MALE,3,1,0,3,4,22,0,2,3,7,Orthodox,187.96,195.58,33,,0,1,3,4,30,1,0,2,7,Orthodox,180.34,190.5,32,,neither
3877,John Moraga,Sergio Pettis,U-DEC,3.0,140,-160,1/15/2017,Blue,False,Flyweight,MALE,3,0,2,2,2,20,0,0,0,5,Orthodox,167.64,175.26,23,15.0,2,0,2,4,25,1,1,3,5,Orthodox,167.64,167.64,32,8.0,Red
3878,Devin Powell,Drakkar Klose,U-DEC,3.0,260,-320,1/15/2017,Blue,False,Lightweight,MALE,3,0,0,0,0,0,0,0,0,0,Orthodox,175.26,177.8,28,,0,0,0,0,0,0,0,0,0,Orthodox,182.88,185.42,28,,neither
3879,Frankie Saenz,Augusto Mendes,S-DEC,3.0,-160,140,1/15/2017,Blue,False,Bantamweight,MALE,3,1,0,0,1,1,0,0,0,0,Orthodox,167.64,165.1,33,,2,0,3,2,15,0,0,0,3,Orthodox,167.64,167.64,36,,neither
3880,Aleksei Oleinik,Viktor Pesta,SUB,1.0,-140,120,1/15/2017,Red,False,Heavyweight,MALE,3,2,0,1,3,11,0,0,0,1,Orthodox,190.5,195.58,26,,1,0,2,1,5,0,1,1,2,Orthodox,187.96,203.2,39,,neither
3881,Anthony Rocco Martin,Alex White,U-DEC,3.0,-170,150,1/15/2017,Red,False,Lightweight,MALE,3,0,1,1,2,10,0,1,0,2,Southpaw,182.88,180.34,28,,0,1,1,3,11,0,0,2,2,Orthodox,182.88,185.42,27,,neither
3882,Jocelyn Jones-Lybarger,Nina Ansaroff,SUB,3.0,135,-175,1/15/2017,Blue,False,Women's Strawweight,FEMALE,3,2,0,0,2,6,0,0,0,0,Orthodox,165.1,162.56,31,,2,0,0,2,6,0,0,0,0,Orthodox,170.18,162.56,31,,neither
3883,Walt Harris,Chase Sherman,KO/TKO,2.0,-155,135,1/15/2017,Red,False,Heavyweight,MALE,3,1,0,0,1,3,0,0,0,0,Orthodox,193.04,198.12,27,,1,0,1,4,10,0,1,0,1,Southpaw,195.58,195.58,33,,neither
3884,Bojan Mihajlovic,Joachim Christensen,KO/TKO,3.0,210,-250,1/15/2017,Blue,False,Light Heavyweight,MALE,3,1,0,0,1,2,0,0,0,0,Orthodox,190.5,193.04,38,,1,0,0,1,1,0,0,0,0,Orthodox,180.34,185.42,36,,neither
3885,Dmitrii Smoliakov,Cyril Asker,KO/TKO,1.0,100,-120,1/15/2017,Blue,False,Heavyweight,MALE,3,1,0,0,1,1,0,0,0,0,Orthodox,182.88,187.96,31,,1,0,0,1,2,0,0,0,0,Switch,187.96,187.96,34,,neither
3886,Amanda Nunes,Ronda Rousey,KO/TKO,1.0,165,-190,12/30/2016,Red,True,Women's Bantamweight,FEMALE,5,1,0,6,1,10,7,3,3,6,Orthodox,170.18,172.72,29,1.0,0,4,4,1,11,1,3,2,6,Orthodox,172.72,175.26,28,0.0,Red
3887,Dominick Cruz,Cody Garbrandt,U-DEC,5.0,-245,205,12/30/2016,Blue,True,Bantamweight,MALE,5,0,5,5,0,9,0,4,0,5,Orthodox,172.72,165.1,25,5.0,0,5,5,0,21,4,1,0,5,Orthodox,172.72,172.72,31,0.0,Red
3888,TJ Dillashaw,John Lineker,U-DEC,3.0,-230,190,12/30/2016,Red,False,Bantamweight,MALE,3,0,6,6,2,29,0,5,1,10,Orthodox,160.02,170.18,26,2.0,0,1,4,3,36,5,5,1,9,Orthodox,167.64,170.18,30,1.0,Red
3889,Dong Hyun Kim,Tarec Saffiedine,S-DEC,3.0,-145,125,12/30/2016,Red,False,Welterweight,MALE,3,1,0,1,2,14,0,0,0,2,Switch,177.8,177.8,30,12.0,0,2,4,4,39,0,4,1,12,Southpaw,187.96,193.04,35,9.0,Red
3890,Louis Smolka,Ray Borg,U-DEC,3.0,120,-140,12/30/2016,Blue,False,Flyweight,MALE,3,1,0,3,2,13,0,0,2,3,Orthodox,162.56,160.02,23,13.0,1,0,4,2,17,0,2,1,5,Orthodox,175.26,172.72,25,12.0,Red
3891,Johny Hendricks,Neil Magny,U-DEC,3.0,170,-200,12/30/2016,Blue,False,Welterweight,MALE,3,1,0,7,4,40,0,4,1,11,Orthodox,190.5,203.2,29,8.0,2,0,6,5,46,3,5,0,12,Southpaw,175.26,175.26,33,6.0,Red
3892,Antonio Carlos Junior,Marvin Vettori,U-DEC,3.0,-120,100,12/30/2016,Red,False,Middleweight,MALE,3,0,1,1,0,1,0,0,1,1,Southpaw,182.88,187.96,23,,0,1,1,3,16,1,0,2,3,Orthodox,187.96,200.66,26,,neither
3893,Mike Pyle,Alex Garcia,KO/TKO,1.0,180,-220,12/30/2016,Blue,False,Welterweight,MALE,3,1,0,2,2,13,0,1,0,3,Orthodox,175.26,182.88,29,,1,0,4,7,35,0,5,2,10,Orthodox,182.88,187.96,41,,neither
3894,Brandon Thatch,Niko Price,SUB,1.0,-155,135,12/30/2016,Blue,False,Welterweight,MALE,3,0,0,0,0,0,0,0,0,0,Orthodox,182.88,193.04,27,,3,0,2,3,10,0,2,0,2,Switch,187.96,187.96,31,,neither
3895,Paige VanZant,Michelle Waterson,SUB,1.0,-110,-110,12/17/2016,Blue,False,Women's Strawweight,FEMALE,5,0,1,1,0,3,0,0,1,1,Orthodox,160.02,157.48,30,11.0,0,1,3,1,16,0,2,1,4,Orthodox,162.56,165.1,22,7.0,Red
3896,Sage Northcutt,Mickey Gall,SUB,2.0,140,-160,12/17/2016,Blue,False,Welterweight,MALE,3,0,2,2,0,2,0,0,2,2,Switch,187.96,187.96,24,,0,1,2,1,8,0,1,1,3,Orthodox,182.88,180.34,20,,neither
3897,Urijah Faber,Brad Pickett,U-DEC,3.0,-340,280,12/17/2016,Red,False,Bantamweight,MALE,3,1,0,2,7,27,0,1,1,5,Orthodox,167.64,172.72,38,,2,0,4,6,47,4,0,6,9,Orthodox,167.64,170.18,37,7.0,Red
3898,Alan Jouban,Mike Perry,U-DEC,3.0,125,-145,12/17/2016,Red,False,Welterweight,MALE,3,0,2,2,0,4,0,2,0,2,Orthodox,177.8,180.34,25,,0,2,2,2,13,0,3,0,5,Southpaw,182.88,185.42,35,,neither
3899,Henrique da Silva,Paul Craig,SUB,2.0,-230,190,12/17/2016,Blue,False,Light Heavyweight,MALE,3,0,0,0,0,0,0,0,0,0,Orthodox,190.5,193.04,29,,0,2,2,0,4,0,1,1,2,Orthodox,190.5,193.04,27,,neither
3900,Cole Miller,Mizuto Hirota,U-DEC,3.0,-115,-105,12/17/2016,Blue,False,Featherweight,MALE,3,3,0,0,3,9,0,0,0,0,Orthodox,170.18,170.18,35,,3,0,2,9,42,0,1,7,10,Orthodox,185.42,187.96,32,,neither
3901,Bryan Barberena,Colby Covington,U-DEC,3.0,300,-360,12/17/2016,Blue,False,Welterweight,MALE,3,0,2,3,1,14,0,2,2,5,Orthodox,180.34,182.88,28,,0,2,2,1,11,0,1,1,3,Southpaw,182.88,182.88,27,,neither
3902,James Moontasri,Alex Morono,U-DEC,3.0,-135,115,12/17/2016,Blue,False,Welterweight,MALE,3,0,1,1,0,3,0,0,0,1,Orthodox,180.34,182.88,26,,1,0,1,3,10,0,1,1,2,Switch,177.8,180.34,28,,neither
3903,Josh Emmett,Scott Holtzman,U-DEC,3.0,-195,168,12/17/2016,Red,False,Lightweight,MALE,3,0,1,1,1,9,0,0,1,2,Orthodox,175.26,175.26,33,,0,1,1,0,3,0,0,0,1,Orthodox,167.64,177.8,31,,neither
3904,Leslie Smith,Irene Aldana,U-DEC,3.0,255,-310,12/17/2016,Red,False,Women's Bantamweight,FEMALE,3,0,0,0,0,0,0,0,0,0,Orthodox,175.26,172.72,28,,1,0,1,3,10,0,1,0,2,Orthodox,175.26,167.64,34,,neither
3905,Eddie Wineland,Takeya Mizugaki,KO/TKO,1.0,-170,150,12/17/2016,Red,False,Bantamweight,MALE,3,1,0,5,5,34,0,1,0,8,Orthodox,170.18,172.72,33,14.0,0,1,2,5,22,1,3,0,4,Orthodox,170.18,175.26,32,13.0,Red
3906,Hector Sandoval,Fredy Serrano,U-DEC,3.0,-125,105,12/17/2016,Red,False,Flyweight,MALE,3,1,0,2,1,7,0,2,0,2,Orthodox,160.02,165.1,37,,1,0,0,1,1,0,0,0,0,Orthodox,157.48,162.56,30,,neither
3907,Bojan Velickovic,Sultan Aliev,S-DEC,3.0,-160,140,12/17/2016,Blue,False,Welterweight,MALE,3,1,0,0,1,1,0,0,0,0,Orthodox,180.34,187.96,32,,1,0,1,1,6,0,0,0,1,Southpaw,182.88,193.04,27,,neither
3908,Max Holloway,Anthony Pettis,KO/TKO,3.0,-300,250,12/10/2016,Red,True,Featherweight,MALE,5,0,1,5,4,25,3,2,3,6,Orthodox,177.8,182.88,29,5.0,0,9,9,3,37,0,5,2,12,Orthodox,180.34,175.26,25,2.0,Red
3909,Donald Cerrone,Matt Brown,KO/TKO,3.0,-300,250,12/10/2016,Red,False,Welterweight,MALE,3,2,0,7,9,50,0,9,2,13,Orthodox,182.88,190.5,35,14.0,0,3,8,4,45,1,7,5,18,Orthodox,185.42,185.42,33,5.0,Red
3910,Cub Swanson,Dooho Choi,U-DEC,3.0,195,-235,12/10/2016,Red,False,Featherweight,MALE,3,0,3,3,0,3,0,3,0,3,Orthodox,177.8,177.8,25,11.0,0,2,6,3,32,0,4,0,8,Orthodox,172.72,177.8,33,4.0,Red
3911,Tim Kennedy,Kelvin Gastelum,KO/TKO,3.0,-125,105,12/10/2016,Blue,False,Middleweight,MALE,3,0,1,5,2,24,1,1,2,7,Southpaw,175.26,180.34,25,,1,0,3,1,12,0,1,0,3,Orthodox,180.34,187.96,37,10.0,Red
3912,Jordan Mein,Emil Meek,U-DEC,3.0,-170,150,12/10/2016,Blue,False,Welterweight,MALE,3,0,0,0,0,0,0,0,0,0,Switch,180.34,187.96,28,,1,0,2,2,9,0,2,0,3,Orthodox,182.88,185.42,27,,neither
3913,Nikita Krylov,Misha Cirkunov,SUB,1.0,-115,-105,12/10/2016,Blue,False,Light Heavyweight,MALE,3,0,3,3,0,6,0,1,2,3,Orthodox,190.5,195.58,29,13.0,0,5,5,2,12,0,3,3,6,Orthodox,190.5,195.58,24,8.0,Red
3914,Olivier Aubin-Mercier,Drew Dober,SUB,2.0,-185,160,12/10/2016,Red,False,Lightweight,MALE,3,0,2,2,4,14,0,1,1,3,Southpaw,172.72,177.8,28,,0,1,3,2,17,1,0,3,4,Southpaw,175.26,177.8,27,,neither
3915,Valerie Letourneau,Viviane Pereira,S-DEC,3.0,-120,100,12/10/2016,Blue,False,Women's Strawweight,FEMALE,3,0,0,0,0,0,0,0,0,0,Orthodox,154.94,160.02,23,,2,0,3,2,17,1,0,0,3,Orthodox,170.18,172.72,33,9.0,Red
3916,Mitch Gagnon,Matthew Lopez,U-DEC,3.0,-130,110,12/10/2016,Blue,False,Bantamweight,MALE,3,1,0,0,1,3,0,0,0,0,Southpaw,170.18,175.26,29,,1,0,4,2,12,0,0,3,4,Southpaw,165.1,165.1,32,,neither
3917,John Makdessi,Lando Vannata,KO/TKO,1.0,135,-155,12/10/2016,Blue,False,Lightweight,MALE,3,1,0,0,1,2,0,0,0,0,Orthodox,175.26,180.34,24,,0,1,3,5,29,0,3,0,7,Orthodox,172.72,172.72,31,,neither
3918,Jason Saggo,Rustam Khabilov,U-DEC,3.0,180,-220,12/10/2016,Blue,False,Lightweight,MALE,3,0,3,3,2,21,0,1,0,6,Orthodox,172.72,185.42,30,,0,2,2,1,8,0,2,0,3,Orthodox,180.34,180.34,31,,neither
3919,Zach Makovsky,Dustin Ortiz,S-DEC,3.0,-130,110,12/10/2016,Blue,False,Flyweight,MALE,3,2,0,2,4,24,0,2,0,4,Orthodox,165.1,165.1,27,11.0,2,0,2,3,18,0,0,0,3,Southpaw,162.56,162.56,33,7.0,Red
3920,Derrick Lewis,Shamil Abdurakhimov,KO/TKO,4.0,-250,210,12/9/2016,Red,False,Heavyweight,MALE,5,0,2,2,1,7,0,0,0,2,Orthodox,190.5,193.04,35,15.0,0,4,4,2,15,0,6,0,7,Orthodox,190.5,200.66,31,10.0,Red
3921,Francis Ngannou,Anthony Hamilton,SUB,1.0,-440,350,12/9/2016,Red,False,Heavyweight,MALE,3,0,1,1,3,11,0,2,0,3,Orthodox,195.58,193.04,36,,0,3,3,0,5,0,2,0,3,Orthodox,193.04,210.82,30,12.0,Red
3922,Corey Anderson,Sean O'Connell,KO/TKO,2.0,-400,325,12/9/2016,Red,False,Light Heavyweight,MALE,3,2,0,2,4,12,0,2,0,2,Orthodox,185.42,187.96,33,,1,0,3,2,19,1,1,0,5,Orthodox,190.5,200.66,27,9.0,Red
3923,Gian Villante,Saparbeg Safarov,KO/TKO,2.0,-190,165,12/9/2016,Red,False,Light Heavyweight,MALE,3,0,0,0,0,0,0,0,0,0,Orthodox,185.42,198.12,30,,1,0,2,4,20,0,3,0,4,Orthodox,190.5,193.04,31,14.0,Red
3924,Justine Kish,Ashley Yoder,U-DEC,3.0,-230,190,12/9/2016,Red,False,Women's Strawweight,FEMALE,3,0,0,0,0,0,0,0,0,0,Southpaw,170.18,175.26,29,,0,1,1,0,3,0,0,0,1,Orthodox,165.1,162.56,28,,neither
3925,Randy Brown,Brian Camozzi,KO/TKO,2.0,-150,130,12/9/2016,Red,False,Welterweight,MALE,3,0,0,0,0,0,0,0,0,0,Orthodox,187.96,198.12,25,,0,1,1,1,8,0,0,1,2,Orthodox,190.5,198.12,26,,neither
3926,Joe Gigliotti,Gerald Meerschaert,,,170,-200,12/9/2016,Blue,False,Middleweight,MALE,3,0,0,0,0,0,0,0,0,0,Southpaw,185.42,195.58,28,,1,0,0,1,3,0,0,0,0,Orthodox,180.34,175.26,23,,neither
3927,Andrew Sanchez,Trevor Smith,U-DEC,3.0,-200,170,12/9/2016,Red,False,Middleweight,MALE,3,0,2,2,3,17,0,0,0,4,Orthodox,190.5,190.5,35,,0,1,1,0,3,1,0,0,1,Orthodox,185.42,187.96,28,,neither
3928,Tiago Trator,Shane Burgos,,,165,-190,12/9/2016,Blue,False,Featherweight,MALE,3,0,0,0,0,0,0,0,0,0,Orthodox,180.34,190.5,25,,0,1,1,1,7,0,0,0,2,Orthodox,175.26,177.8,29,,neither
3929,Frankie Perez,Marc Diakiese,U-DEC,3.0,220,-260,12/9/2016,Blue,False,Lightweight,MALE,3,0,1,1,0,2,0,1,0,1,Orthodox,177.8,185.42,23,,0,1,1,1,4,0,1,0,1,Orthodox,180.34,185.42,27,,neither
3930,Keith Berish,Ryan Janes,U-DEC,3.0,130,-150,12/9/2016,Blue,False,Middleweight,MALE,3,0,0,0,0,0,0,0,0,0,Orthodox,190.5,193.04,35,,1,0,0,1,1,0,0,0,0,Orthodox,182.88,185.42,31,,neither
3931,Juliana Lima,JJ Aldrich,U-DEC,3.0,-230,190,12/9/2016,Red,False,Women's Strawweight,FEMALE,3,0,0,0,0,0,0,0,0,0,Southpaw,165.1,170.18,24,,1,0,2,2,12,0,0,0,2,Orthodox,165.1,165.1,34,15.0,Red
3932,Demetrious Johnson,Tim Elliott,U-DEC,5.0,-900,600,12/3/2016,Red,True,Flyweight,MALE,5,3,0,2,4,16,0,0,0,2,Southpaw,170.18,167.64,29,,0,10,10,2,51,10,2,3,12,Orthodox,160.02,167.64,30,0.0,Red
3933,Joseph Benavidez,Henry Cejudo,S-DEC,3.0,-200,163,12/3/2016,Red,False,Flyweight,MALE,3,1,0,4,1,13,1,0,0,4,Orthodox,162.56,162.56,29,2.0,0,5,5,2,33,2,3,1,11,Southpaw,162.56,165.1,32,1.0,Red
3934,Jake Ellenberger,Jorge Masvidal,KO/TKO,1.0,175,-210,12/3/2016,Blue,False,Welterweight,MALE,3,0,1,3,4,32,0,1,1,7,Orthodox,180.34,187.96,32,,0,1,6,7,36,0,5,1,10,Orthodox,175.26,180.34,31,15.0,Red
3935,Ion Cutelaba,Jared Cannonier,U-DEC,3.0,-230,190,12/3/2016,Blue,False,Light Heavyweight,MALE,3,0,1,1,1,2,0,1,0,1,Switch,180.34,195.58,32,,0,1,1,1,6,0,0,0,1,Southpaw,185.42,190.5,22,,neither
3936,Sara McMann,Alexis Davis,SUB,2.0,-155,135,12/3/2016,Red,False,Women's Bantamweight,FEMALE,3,0,1,3,1,12,1,0,1,4,Orthodox,167.64,172.72,32,,0,1,1,3,12,1,1,0,3,Orthodox,167.64,167.64,36,7.0,Red
3937,Brandon Moreno,Ryan Benoit,S-DEC,3.0,-190,165,12/3/2016,Red,False,Flyweight,MALE,3,0,1,1,2,8,0,1,0,2,Orthodox,165.1,172.72,27,,0,1,1,0,1,0,0,1,1,Orthodox,170.18,177.8,22,12.0,Red
3938,Gray Maynard,Ryan Hall,U-DEC,3.0,145,-165,12/3/2016,Blue,False,Featherweight,MALE,3,0,1,1,0,3,1,0,0,1,Southpaw,177.8,180.34,31,,0,1,8,7,48,2,1,0,10,Orthodox,175.26,177.8,37,,neither
3939,Rob Font,Matt Schnell,KO/TKO,1.0,-270,230,12/3/2016,Red,False,Bantamweight,MALE,3,0,0,0,0,0,0,0,0,0,Orthodox,172.72,177.8,26,,1,0,2,1,6,0,2,0,2,Orthodox,172.72,180.34,29,,neither
3940,Dong Hyun Ma,Brendan O'Reilly,U-DEC,3.0,-150,130,12/3/2016,Red,False,Lightweight,MALE,3,1,0,1,2,7,0,0,0,1,Orthodox,170.18,175.26,29,,2,0,0,2,6,0,0,0,0,Orthodox,180.34,177.8,28,,neither
3941,Kailin Curran,Jamie Moyle,U-DEC,3.0,-120,100,12/3/2016,Blue,False,Women's Strawweight,FEMALE,3,0,0,0,0,0,0,0,0,0,Orthodox,154.94,165.1,27,,1,0,1,3,9,0,0,1,1,Orthodox,162.56,165.1,25,,neither
3942,Elvis Mutapcic,Anthony Smith,KO/TKO,2.0,-105,-115,12/3/2016,Blue,False,Middleweight,MALE,3,1,0,1,2,7,0,0,0,1,Orthodox,193.04,193.04,28,,2,0,0,2,6,0,0,0,0,Orthodox,182.88,182.88,30,,neither
3943,Josh Stansbury,Devin Clark,U-DEC,3.0,-105,-115,12/3/2016,Blue,False,Light Heavyweight,MALE,3,1,0,0,1,1,0,0,0,0,Orthodox,182.88,190.5,26,,0,1,1,0,3,0,0,0,1,Orthodox,187.96,187.96,32,,neither
3944,Robert Whittaker,Derek Brunson,KO/TKO,1.0,100,-120,11/26/2016,Red,False,Middleweight,MALE,5,0,5,5,1,14,0,4,1,7,Southpaw,185.42,195.58,32,8.0,0,5,5,2,22,1,3,0,7,Orthodox,182.88,185.42,25,7.0,Red
3945,Jake Matthews,Andrew Holbrook,S-DEC,3.0,-550,425,11/26/2016,Blue,False,Lightweight,MALE,3,1,0,1,1,4,0,0,0,1,Southpaw,180.34,177.8,30,,1,0,2,2,12,0,0,3,4,Orthodox,180.34,185.42,22,,neither
3946,Kyle Noke,Omari Akhmedov,U-DEC,3.0,-110,-110,11/26/2016,Blue,False,Welterweight,MALE,3,2,0,2,3,12,0,2,0,3,Orthodox,182.88,185.42,29,,2,0,3,5,22,0,3,2,6,Southpaw,185.42,193.04,36,,neither
3947,Yusuke Kasuya,Alexander Volkanovski,KO/TKO,2.0,135,-155,11/26/2016,Blue,False,Lightweight,MALE,3,0,0,0,0,0,0,0,0,0,Orthodox,167.64,180.34,28,,1,0,0,1,3,0,0,0,0,Southpaw,170.18,170.18,27,,neither
3948,Khalil Rountree Jr.,Tyson Pedro,SUB,1.0,-105,-115,11/26/2016,Blue,False,Light Heavyweight,MALE,3,0,0,0,0,0,0,0,0,0,Orthodox,190.5,200.66,25,,1,0,0,1,3,1,0,0,0,Southpaw,185.42,193.04,26,,neither
3949,Seohee Ham,Danielle Taylor,,,-110,-110,11/26/2016,Blue,False,Women's Strawweight,FEMALE,3,1,0,0,1,3,0,0,0,0,Orthodox,152.4,152.4,27,,1,0,1,2,9,0,0,0,1,Southpaw,157.48,157.48,29,,neither
3950,Daniel Kelly,Chris Camozzi,U-DEC,3.0,165,-190,11/26/2016,Red,False,Middleweight,MALE,3,1,0,4,8,43,0,1,1,9,Orthodox,187.96,193.04,30,,0,2,2,1,11,0,1,1,4,Southpaw,182.88,177.8,39,,neither
3951,Damien Brown,Jon Tuck,S-DEC,3.0,130,-150,11/26/2016,Red,False,Lightweight,MALE,3,1,0,1,3,16,0,1,1,3,Orthodox,180.34,185.42,32,,0,1,1,1,4,0,1,0,1,Orthodox,177.8,172.72,31,,neither
3952,Richard Walsh,Jonathan Meunier,U-DEC,3.0,-135,115,11/26/2016,Blue,False,Welterweight,MALE,3,1,0,0,1,3,0,0,0,0,Switch,190.5,190.5,29,,1,0,1,3,13,0,0,0,2,Orthodox,182.88,185.42,27,,neither
3953,Ben Nguyen,Geane Herrera,U-DEC,3.0,-140,120,11/26/2016,Red,False,Flyweight,MALE,3,1,0,1,2,8,0,1,0,1,Orthodox,165.1,167.64,26,,1,0,2,1,4,0,1,1,2,Switch,165.1,165.1,28,15.0,Red
3954,Dan Hooker,Jason Knight,U-DEC,3.0,-145,125,11/26/2016,Blue,False,Featherweight,MALE,3,0,1,1,1,6,0,0,0,1,Orthodox,177.8,180.34,24,,0,1,1,2,10,0,2,1,3,Switch,182.88,190.5,26,,neither
3955,Marlon Vera,Ning Guangyou,,,-110,-110,11/26/2016,Red,False,Featherweight,MALE,3,1,0,2,1,8,1,1,0,2,Southpaw,162.56,162.56,34,,1,0,1,2,8,0,0,1,1,Switch,172.72,177.8,23,,neither
3956,Yao Zhikui,Jenel Lausa,U-DEC,3.0,115,-135,11/26/2016,Blue,False,Flyweight,MALE,3,0,0,0,0,0,0,0,0,0,Orthodox,165.1,172.72,28,,1,0,1,2,7,0,0,0,1,Orthodox,165.1,162.56,25,,neither
3957,Ryan Bader,Rogerio Nogueira,KO/TKO,3.0,-340,280,11/19/2016,Red,False,Light Heavyweight,MALE,5,0,1,2,4,19,0,3,0,5,Southpaw,187.96,190.5,40,9.0,0,1,5,5,44,1,4,1,14,Orthodox,187.96,187.96,33,4.0,Red
3958,Thomas Almeida,Albert Morales,KO/TKO,2.0,-300,250,11/19/2016,Red,False,Bantamweight,MALE,3,1,0,0,1,3,0,0,0,0,Orthodox,175.26,182.88,25,,1,0,4,1,8,0,3,0,4,Southpaw,170.18,177.8,25,11.0,Red
3959,Claudia Gadelha,Cortney Casey,U-DEC,3.0,-460,365,11/19/2016,Red,False,Women's Strawweight,FEMALE,3,0,2,2,2,8,0,1,1,2,Orthodox,170.18,170.18,29,,1,0,1,2,14,1,0,0,2,Orthodox,162.56,160.02,27,1.0,Red
3960,Thales Leites,Krzysztof Jotko,U-DEC,3.0,-135,115,11/19/2016,Blue,False,Middleweight,MALE,3,0,4,4,1,15,0,1,0,5,Southpaw,185.42,195.58,27,15.0,0,1,5,5,42,1,2,5,11,Orthodox,185.42,198.12,35,11.0,Red
3961,Warlley Alves,Kamaru Usman,U-DEC,3.0,175,-210,11/19/2016,Blue,False,Welterweight,MALE,3,0,3,3,0,8,1,0,1,3,Switch,182.88,193.04,29,,1,0,4,1,12,1,0,3,4,Orthodox,180.34,182.88,25,,neither
3962,Sergio Moraes,Zak Ottow,S-DEC,3.0,-150,130,11/19/2016,Red,False,Welterweight,MALE,3,0,1,1,0,3,0,0,0,1,Orthodox,180.34,182.88,29,,1,0,4,2,16,1,1,2,4,Orthodox,182.88,182.88,34,,neither
3963,Cezar Ferreira,Jack Hermansson,SUB,2.0,110,-130,11/19/2016,Red,False,Middleweight,MALE,3,0,1,1,0,3,0,0,0,1,Orthodox,185.42,195.58,28,,0,2,3,3,19,1,0,1,6,Southpaw,185.42,198.12,31,,neither
3964,Marcos Rogerio de Lima,Gadzhimurad Antigulov,SUB,1.0,-165,145,11/19/2016,Blue,False,Light Heavyweight,MALE,3,0,0,0,0,0,0,0,0,0,Orthodox,180.34,177.8,29,,0,1,2,1,4,0,2,1,3,Orthodox,185.42,190.5,31,,neither
3965,Johnny Eduardo,Manvel Gamburyan,KO/TKO,2.0,-140,120,11/19/2016,Red,False,Bantamweight,MALE,3,1,0,2,8,32,1,0,3,6,Orthodox,165.1,170.18,35,,1,0,2,2,9,0,1,0,2,Orthodox,170.18,180.34,38,13.0,Red
3966,Luis Henrique,Christian Colombo,SUB,3.0,-290,245,11/19/2016,Red,False,Heavyweight,MALE,3,1,0,0,1,3,0,0,0,0,Orthodox,195.58,203.2,36,,0,1,1,1,4,0,0,1,1,Orthodox,187.96,187.96,23,,neither
3967,Pedro Munhoz,Justin Scoggins,SUB,2.0,135,-155,11/19/2016,Red,False,Bantamweight,MALE,3,0,2,2,2,15,0,1,0,4,Southpaw,170.18,167.64,24,,0,1,1,3,9,0,1,1,2,Orthodox,167.64,165.1,30,,neither
3968,Gegard Mousasi,Uriah Hall,KO/TKO,1.0,-560,430,11/19/2016,Red,False,Middleweight,MALE,5,2,0,3,5,21,1,2,0,5,Orthodox,182.88,200.66,32,10.0,0,3,3,3,24,0,3,1,7,Orthodox,187.96,193.04,31,5.0,Red
3969,Ross Pearson,Stevie Ray,S-DEC,3.0,-105,-115,11/19/2016,Blue,False,Lightweight,MALE,3,1,0,3,1,9,0,2,0,3,Southpaw,177.8,177.8,26,,2,0,3,10,54,1,4,0,11,Orthodox,172.72,175.26,32,,neither
3970,Tim Johnson,Alexander Volkov,,,-150,130,11/19/2016,Blue,False,Heavyweight,MALE,3,0,0,0,0,0,0,0,0,0,Orthodox,200.66,203.2,28,,0,1,1,1,7,0,1,0,2,Southpaw,190.5,195.58,31,14.0,Red
3971,Artem Lobov,Teruto Ishihara,U-DEC,3.0,220,-260,11/19/2016,Red,False,Featherweight,MALE,3,0,2,2,1,6,0,2,0,2,Southpaw,170.18,175.26,25,,0,1,1,2,9,1,0,0,1,Southpaw,175.26,165.1,30,,neither
3972,Magnus Cedenblad,Jack Marshman,KO/TKO,2.0,-250,210,11/19/2016,Blue,False,Middleweight,MALE,3,0,0,0,0,0,0,0,0,0,Orthodox,182.88,185.42,26,,0,4,4,1,10,0,1,2,4,Orthodox,195.58,200.66,34,,neither
