,RedFighter,BlueFighter,Finish,FinishRound,RedOdds,BlueOdds,Date,Winner,TitleBout,WeightClass,Gender,NumberOfRounds,BlueCurrentLoseStreak,BlueCurrentWinStreak,BlueLongestWinStreak,BlueLosses,BlueTotalRoundsFought,BlueTotalTitleBouts,BlueWinsByKO,BlueWinsBySubmission,BlueWins,BlueStance,BlueHeightCms,BlueReachCms,BlueAge,BMatchWCRank,RedCurrentLoseStreak,RedCurrentWinStreak,RedLongestWinStreak,RedLosses,RedTotalRoundsFought,RedTotalTitleBouts,RedWinsByKO,RedWinsBySubmission,RedWins,RedStance,RedHeightCms,RedReachCms,RedAge,RMatchWCRank,BetterRank
4593,Gunnar Nelson,Brandon Thatch,SUB,1.0,150,-170,7/11/2015,Red,False,Welterweight,MALE,3,1,0,2,1,6,0,2,0,2,Switch,187.96,187.96,29,,1,0,4,1,12,0,0,3,4,Switch,180.34,182.88,26,15.0,Red
4594,Brad Pickett,Thomas Almeida,KO/TKO,2.0,500,-700,7/11/2015,Blue,False,Bantamweight,MALE,3,0,2,2,0,4,0,1,0,2,Southpaw,170.18,177.8,23,14.0,2,0,2,5,21,0,1,1,4,Orthodox,167.64,172.72,36,,Blue
4595,Matt Brown,Tim Means,SUB,1.0,-150,130,7/11/2015,Red,False,Welterweight,MALE,3,0,4,4,3,23,0,2,1,6,Orthodox,187.96,190.5,31,,2,0,7,7,45,0,9,1,12,Orthodox,182.88,190.5,34,5.0,Red
4596,Mike Swick,Alex Garcia,U-DEC,3.0,375,-470,7/11/2015,Blue,False,Welterweight,MALE,3,1,0,2,1,7,0,1,0,2,Orthodox,175.26,182.88,27,,1,0,5,4,28,0,5,2,10,Orthodox,185.42,195.58,36,,neither
4597,Cathal Pendred,John Howard,S-DEC,3.0,-135,115,7/11/2015,Blue,False,Welterweight,MALE,3,3,0,4,6,32,0,2,0,6,Orthodox,170.18,180.34,32,,0,4,4,0,11,0,0,1,4,Orthodox,185.42,190.5,27,,neither
4598,Cody Garbrandt,Henry Briones,U-DEC,3.0,-1000,650,7/11/2015,Red,False,Bantamweight,MALE,3,0,1,1,0,2,0,0,1,1,Orthodox,172.72,175.26,34,,0,1,1,0,3,0,1,0,1,Orthodox,172.72,165.1,24,,neither
4599,Neil Seery,Louis Smolka,U-DEC,3.0,115,-135,7/11/2015,Blue,False,Flyweight,MALE,3,0,1,1,1,9,0,1,0,2,Orthodox,175.26,172.72,23,,0,2,2,1,9,0,0,0,2,Orthodox,162.56,162.56,35,,neither
4600,Yosdenis Cedeno,Cody Pfister,U-DEC,3.0,-250,210,7/11/2015,Blue,False,Lightweight,MALE,3,1,0,0,1,2,0,0,0,0,Orthodox,177.8,185.42,24,,1,0,1,2,7,0,0,0,1,Orthodox,172.72,175.26,30,,neither
4601,Lyoto Machida,Yoel Romero,KO/TKO,3.0,-165,145,6/27/2015,Blue,False,Middleweight,MALE,5,0,5,5,0,13,0,4,0,5,Southpaw,182.88,185.42,38,6.0,1,0,8,6,52,5,6,1,14,Southpaw,185.42,187.96,37,4.0,Red
4602,Santiago Ponzinibbio,Lorenz Larkin,KO/TKO,2.0,150,-170,6/27/2015,Blue,False,Welterweight,MALE,3,0,1,1,4,14,0,1,0,2,Orthodox,180.34,182.88,28,,0,2,2,1,7,0,1,0,2,Orthodox,182.88,185.42,28,,neither
4603,Antonio Carlos Junior,Eddie Gordon,SUB,3.0,-170,150,6/27/2015,Red,False,Middleweight,MALE,3,2,0,1,2,6,1,1,0,1,Orthodox,182.88,193.04,31,,1,0,1,1,6,1,0,0,1,Orthodox,187.96,200.66,25,,neither
4604,Thiago Santos,Steve Bosse,KO/TKO,1.0,-175,155,6/27/2015,Red,False,Middleweight,MALE,3,0,0,0,0,0,0,0,0,0,Orthodox,180.34,182.88,33,,0,1,1,2,6,0,2,0,2,Orthodox,187.96,193.04,31,,neither
4605,Hacran Dias,Levan Makashvili,S-DEC,3.0,-145,125,6/27/2015,Red,False,Featherweight,MALE,3,0,1,1,0,3,0,0,0,1,Orthodox,172.72,172.72,26,,0,1,1,2,12,0,0,0,2,Orthodox,172.72,175.26,31,14.0,Red
4606,Alex Oliveira,Joe Merritt,U-DEC,3.0,-425,340,6/27/2015,Red,False,Welterweight,MALE,3,0,0,0,0,0,0,0,0,0,Orthodox,182.88,185.42,31,,0,1,1,1,4,0,0,1,1,Orthodox,180.34,193.04,27,,neither
4607,Leandro Silva,Lewis Gonzalez,U-DEC,3.0,-190,165,6/27/2015,Red,False,Welterweight,MALE,3,0,0,0,0,0,0,0,0,0,Orthodox,177.8,185.42,27,,1,0,1,3,9,0,0,1,1,Orthodox,175.26,182.88,29,,neither
4608,Steve Montgomery,Tony Sims,KO/TKO,1.0,100,-120,6/27/2015,Blue,False,Welterweight,MALE,3,0,0,0,0,0,0,0,0,0,Southpaw,180.34,177.8,29,,0,0,0,0,0,0,0,0,0,Southpaw,193.04,190.5,24,,neither
4609,Danny Martinez,Sirwan Kakai,U-DEC,3.0,-115,-105,6/27/2015,Blue,False,Bantamweight,MALE,3,0,0,0,0,0,0,0,0,0,Orthodox,165.1,167.64,25,,2,0,0,2,6,0,0,0,0,Orthodox,167.64,170.18,30,,neither
4610,Joanna Jedrzejczyk,Jessica Penne,KO/TKO,3.0,-900,600,6/20/2015,Red,True,Women's Strawweight,FEMALE,5,0,1,1,0,3,0,0,0,1,Orthodox,165.1,170.18,32,3.0,0,3,3,0,8,1,1,0,3,Orthodox,167.64,165.1,27,0.0,Red
4611,Dennis Siver,Tatsuya Kawajiri,U-DEC,3.0,-150,130,6/20/2015,Blue,False,Featherweight,MALE,3,1,0,1,1,5,0,0,1,1,Orthodox,170.18,175.26,37,15.0,1,0,4,8,44,0,3,2,11,Orthodox,167.64,177.8,36,12.0,Red
4612,Peter Sobotta,Steve Kennedy,SUB,1.0,-370,310,6/20/2015,Red,False,Welterweight,MALE,3,0,0,0,0,0,0,0,0,0,Orthodox,180.34,180.34,32,,0,1,1,3,12,0,0,0,1,Southpaw,182.88,190.5,28,,neither
4613,Nick Hein,Lukasz Sajewski,U-DEC,3.0,-150,130,6/20/2015,Red,False,Lightweight,MALE,3,0,0,0,0,0,0,0,0,0,Orthodox,172.72,180.34,24,,1,0,1,1,6,0,0,0,1,Southpaw,167.64,167.64,31,,neither
4614,Makwan Amirkhani,Masio Fullen,SUB,1.0,-260,240,6/20/2015,Red,False,Featherweight,MALE,3,0,1,1,0,3,0,0,0,1,Orthodox,177.8,177.8,28,,0,1,1,0,1,0,1,0,1,Southpaw,177.8,182.88,26,,neither
4615,Mairbek Taisumov,Alan Patrick,KO/TKO,2.0,-160,140,6/20/2015,Red,False,Lightweight,MALE,3,0,2,2,0,4,0,1,0,2,Southpaw,180.34,187.96,31,,0,2,2,1,9,0,2,0,3,Orthodox,175.26,185.42,26,,neither
4616,Alan Omer,Arnold Allen,SUB,3.0,-165,145,6/20/2015,Blue,False,Featherweight,MALE,3,0,0,0,0,0,0,0,0,0,Southpaw,172.72,177.8,21,,1,0,0,1,3,0,0,0,0,Orthodox,177.8,180.34,26,,neither
4617,Niklas Backstrom,Noad Lahat,M-DEC,3.0,-190,165,6/20/2015,Blue,False,Featherweight,MALE,3,0,1,1,1,4,0,0,0,1,Orthodox,175.26,175.26,31,,1,0,1,1,2,0,0,1,1,Orthodox,185.42,187.96,25,,neither
4618,Scott Askham,Antonio Dos Santos,KO/TKO,1.0,-235,195,6/20/2015,Red,False,Middleweight,MALE,3,1,0,0,1,2,0,0,0,0,Orthodox,177.8,182.88,26,,1,0,0,1,3,0,0,0,0,Southpaw,190.5,190.5,27,,neither
4619,Piotr Hallmann,Magomed Mustafaev,KO/TKO,2.0,100,-120,6/20/2015,Blue,False,Lightweight,MALE,3,0,0,0,0,0,0,0,0,0,Orthodox,172.72,180.34,26,,1,0,1,2,11,0,0,2,2,Orthodox,175.26,180.34,27,,neither
4620,Taylor Lapilus,Ulka Sasaki,,,240,-280,6/20/2015,Red,False,Bantamweight,MALE,3,1,0,1,1,3,0,0,1,1,Southpaw,177.8,180.34,25,,0,1,1,0,3,0,0,0,1,Southpaw,167.64,185.42,23,,neither
4621,Cain Velasquez,Fabricio Werdum,SUB,3.0,-460,365,6/13/2015,Blue,True,Heavyweight,MALE,5,0,5,5,2,20,1,4,1,7,Orthodox,193.04,195.58,37,1.0,0,4,7,1,24,5,9,0,11,Orthodox,185.42,195.58,32,0.0,Red
4622,Gilbert Melendez,Eddie Alvarez,S-DEC,3.0,-170,150,6/13/2015,Blue,False,Lightweight,MALE,3,1,0,0,1,3,0,0,0,0,Orthodox,175.26,175.26,31,9.0,1,0,1,2,10,2,0,0,1,Orthodox,175.26,185.42,33,4.0,Red
4623,Kelvin Gastelum,Nate Marquardt,KO/TKO,2.0,-500,400,6/13/2015,Red,False,Middleweight,MALE,3,1,0,4,7,38,1,4,3,11,Orthodox,182.88,187.96,36,,1,0,5,1,14,1,0,2,5,Southpaw,175.26,180.34,23,,neither
4624,Yair Rodriguez,Charles Rosa,S-DEC,3.0,155,-175,6/13/2015,Red,False,Featherweight,MALE,3,0,1,1,1,6,0,0,1,1,Switch,175.26,175.26,28,,0,1,1,0,3,1,0,0,1,Orthodox,180.34,180.34,22,,neither
4625,Tecia Torres,Angela Hill,U-DEC,3.0,-235,195,6/13/2015,Red,False,Women's Strawweight,FEMALE,3,0,1,1,0,3,0,0,0,1,Orthodox,160.02,162.56,30,15.0,0,1,1,0,3,0,0,0,1,Orthodox,154.94,152.4,25,5.0,Red
4626,Henry Cejudo,Chico Camus,U-DEC,3.0,-1275,825,6/13/2015,Red,False,Flyweight,MALE,3,0,1,1,3,18,0,0,0,3,Orthodox,167.64,167.64,30,13.0,0,2,2,0,6,0,0,0,2,Orthodox,162.56,162.56,28,7.0,Red
4627,Efrain Escudero,Drew Dober,SUB,1.0,120,-140,6/13/2015,Red,False,Lightweight,MALE,3,1,0,1,3,9,0,0,1,1,Southpaw,172.72,177.8,26,,0,1,2,5,25,1,1,0,4,Orthodox,175.26,177.8,29,,neither
4628,Alejandro Perez,Patrick Williams,SUB,1.0,-160,150,6/13/2015,Blue,False,Bantamweight,MALE,3,1,0,0,1,2,0,0,0,0,Orthodox,172.72,185.42,33,,0,1,1,0,3,1,0,0,1,Orthodox,167.64,170.18,25,,neither
4629,Francisco Trevino,Johnny Case,U-DEC,3.0,415,-525,6/13/2015,Blue,False,Lightweight,MALE,3,0,2,2,0,5,0,1,1,2,Orthodox,177.8,182.88,25,,0,1,1,0,3,0,0,0,1,Orthodox,175.26,177.8,33,,neither
4630,Augusto Montano,Cathal Pendred,U-DEC,3.0,-110,-110,6/13/2015,Blue,False,Welterweight,MALE,3,0,3,3,0,8,0,0,1,3,Orthodox,185.42,190.5,27,,0,1,1,0,1,0,1,0,1,Orthodox,185.42,185.42,30,,neither
4631,Gabriel Benitez,Clay Collard,U-DEC,3.0,215,-255,6/13/2015,Red,False,Featherweight,MALE,3,0,1,1,1,6,0,0,0,1,Orthodox,180.34,185.42,22,,0,1,1,0,3,0,0,1,1,Southpaw,172.72,180.34,26,,neither
4632,Tim Boetsch,Dan Henderson,KO/TKO,1.0,-185,160,6/6/2015,Blue,False,Middleweight,MALE,5,2,0,4,7,38,3,2,0,7,Orthodox,180.34,187.96,44,,1,0,4,7,38,0,4,0,9,Orthodox,182.88,187.96,34,13.0,Red
4633,Ben Rothwell,Matt Mitrione,SUB,1.0,145,-165,6/6/2015,Red,False,Heavyweight,MALE,3,0,3,5,3,19,0,8,0,9,Switch,190.5,200.66,36,13.0,0,2,2,3,15,0,3,0,4,Orthodox,193.04,198.12,33,9.0,Red
4634,Dustin Poirier,Yancy Medeiros,KO/TKO,1.0,-250,230,6/6/2015,Red,False,Lightweight,MALE,3,0,2,2,3,6,0,0,2,2,Orthodox,177.8,190.5,27,,0,1,4,3,25,0,3,3,9,Southpaw,175.26,182.88,26,,neither
