RedFighter,BlueFighter,RedOdds,BlueOdds,RedWinner,RedReturn,BlueReturn,OddsDiff,AgeDiff,ReachDiff,WinsDiff,LossesDiff,WinStreakDiff,LoseStreakDiff,RankDiff,Date,TitleBout,WeightClass,Gender,NumberOfRounds,Finish,FinishRound,BlueCurrentLoseStreak,BlueCurrentWinStreak,BlueLongestWinStreak,BlueLosses,BlueTotalRoundsFought,BlueTotalTitleBouts,BlueWinsByKO,BlueWinsBySubmission,BlueWins,BlueStance,BlueHeightCms,BlueReachCms,BlueAge,BMatchWCRank,RedCurrentLoseStreak,RedCurrentWinStreak,RedLongestWinStreak,RedLosses,RedTotalRoundsFought,RedTotalTitleBouts,RedWinsByKO,RedWinsBySubmission,RedWins,RedStance,RedHeightCms,RedReachCms,RedAge,RMatchWCRank
Ed Herman,Tim Credeur,-130,110,True,1.7692,0.0,-240,-3,5.0800000000000125,1,4,0,0,0,2011-06-04,False,Middleweight,MALE,3,KO/TKO,1,1,0,3,1,8,0,2,1,3,Orthodox,190.5,190.5,33,20,1,0,3,5,20,1,1,2,4,Orthodox,185.42,195.58,30,20
Fabio Maldonado,Kyle Kingsbury,165,-190,False,0.0,1.5263,355,2,-2.539999999999992,-2,-1,-2,0,0,2011-06-04,False,Light Heavyweight,MALE,3,U-DEC,3,0,3,3,1,10,0,1,0,3,Orthodox,193.04,193.04,29,20,0,1,1,0,3,0,1,0,1,Orthodox,185.42,190.5,31,20
Chuck O'Neil,Chris Cope,-175,155,False,0.0,2.55,-330,-3,10.120000000000005,0,0,0,0,0,2011-06-04,False,Welterweight,MALE,3,U-DEC,3,0,0,0,0,0,0,0,0,0,Orthodox,182.88,182.88,28,20,0,0,0,0,0,0,0,0,0,Orthodox,187.96,193.0,25,20
Danny Downes,Jeremy Stephens,300,-360,False,0.0,1.2778,660,0,2.539999999999992,-6,-5,-1,0,0,2011-06-04,False,Lightweight,MALE,3,U-DEC,3,0,1,2,5,28,0,3,0,6,Orthodox,172.72,180.34,25,20,0,0,0,0,0,0,0,0,0,Orthodox,182.88,182.88,25,20
Josh Grispi,George Roop,-420,335,False,0.0,4.35,-755,-7,5.0800000000000125,-1,-2,0,-1,0,2011-06-04,False,Featherweight,MALE,3,KO/TKO,3,2,0,1,3,9,0,0,0,1,Orthodox,185.42,182.88,29,20,1,0,0,1,3,0,0,0,0,Orthodox,180.34,187.96,22,20
Ryan McGillivray,Shamar Bailey,250,-300,False,0.0,1.3333,550,-4,-5.5,0,0,0,0,0,2011-06-04,False,Welterweight,MALE,3,U-DEC,3,0,0,0,0,0,0,0,0,0,Orthodox,175.26,190.5,28,20,0,0,0,0,0,0,0,0,0,Orthodox,180.34,185.0,24,20
Clay Harvison,Justin Edwards,170,-200,True,2.7,0.0,370,2,10.159999999999997,0,0,0,0,0,2011-06-04,False,Welterweight,MALE,3,S-DEC,3,0,0,0,0,0,0,0,0,0,Orthodox,177.8,177.8,28,20,0,0,0,0,0,0,0,0,0,Orthodox,185.42,187.96,30,20
Scott Jorgensen,Ken Stone,-460,365,True,1.2174,0.0,-825,0,-12.700000000000017,0,0,0,0,0,2011-06-04,False,Bantamweight,MALE,3,KO/TKO,1,0,0,0,0,0,0,0,0,0,Orthodox,172.72,180.34,28,20,0,0,0,0,0,0,0,0,0,Orthodox,165.1,167.64,28,20
Reuben Duran,Francisco Rivera,-230,190,True,1.4348,0.0,-420,-2,2.539999999999992,0,1,0,1,0,2011-06-04,False,Bantamweight,MALE,3,SUB,3,0,0,0,0,0,0,0,0,0,Orthodox,172.72,172.72,29,20,1,0,0,1,3,0,0,0,0,Orthodox,170.18,175.26,27,20
Frank Mir,Roy Nelson,-120,110,True,1.8333,0.0,-230,-2,17.78,10,4,1,-1,0,2011-05-28,False,Heavyweight,MALE,3,U-DEC,3,1,0,2,1,5,1,2,0,2,Orthodox,182.88,182.88,34,20,0,1,4,5,24,4,3,7,12,Southpaw,190.5,200.66,32,20
Stefan Struve,Travis Browne,118,-128,False,0.0,1.7812,246,-5,12.700000000000017,4,1,2,-1,0,2011-05-28,False,Heavyweight,MALE,3,KO/TKO,1,1,0,1,1,4,0,1,0,1,Orthodox,198.12,200.66,28,20,0,2,3,2,11,0,2,2,5,Orthodox,210.82,213.36,23,20
Thiago Alves,Rick Story,-230,210,False,0.0,3.1,-440,1,-2.539999999999992,5,3,-4,0,0,2011-05-28,False,Welterweight,MALE,3,U-DEC,3,0,5,5,1,16,0,1,1,5,Southpaw,175.26,180.34,26,20,0,1,7,4,33,1,6,0,10,Orthodox,175.26,177.8,27,20
Brian Stann,Jorge Santiago,-140,130,True,1.7143,0.0,-270,0,0.0,3,0,2,-2,0,2011-05-28,False,Middleweight,MALE,3,KO/TKO,2,2,0,1,2,6,0,1,0,1,Orthodox,185.42,187.96,30,20,0,2,2,2,14,0,1,1,4,Orthodox,185.42,187.96,30,20
Miguel Torres,Demetrious Johnson,-120,110,False,0.0,2.1,-230,6,25.400000000000006,0,0,0,0,0,2011-05-28,False,Bantamweight,MALE,3,U-DEC,3,0,1,1,0,3,0,0,0,1,Orthodox,160.02,167.64,24,20,0,1,1,0,3,0,0,0,1,Orthodox,175.26,193.04,30,20
Kendall Grove,Tim Boetsch,-125,115,False,0.0,2.15,-240,-2,12.699999999999989,4,2,0,0,0,2011-05-28,False,Middleweight,MALE,3,U-DEC,3,1,0,1,3,12,0,2,0,3,Orthodox,182.88,187.96,30,20,1,0,3,5,24,1,2,2,7,Orthodox,198.12,200.66,28,20
Gleison Tibau,Rafaello Oliveira,-430,380,True,1.2326,0.0,-810,-2,0.0,7,3,1,-1,0,2011-05-28,False,Lightweight,MALE,3,SUB,2,1,0,1,2,9,0,0,0,1,Orthodox,172.72,180.34,29,20,0,1,3,5,31,0,1,2,8,Southpaw,177.8,180.34,27,20
Michael McDonald,Chris Cariaso,-380,340,True,1.2632,0.0,-720,-10,17.78,0,0,0,0,0,2011-05-28,False,Bantamweight,MALE,3,S-DEC,3,0,1,1,0,3,0,0,0,1,Southpaw,160.02,160.02,30,20,0,1,1,0,3,0,0,0,1,Orthodox,175.26,177.8,20,20
Cole Escovedo,Renan Barao,315,-345,False,0.0,1.2899,660,5,5.079999999999984,0,0,0,0,0,2011-05-28,False,Bantamweight,MALE,3,U-DEC,3,0,0,0,0,0,0,0,0,0,Orthodox,167.64,177.8,24,20,0,0,0,0,0,0,0,0,0,Orthodox,170.18,182.88,29,20
Georges St-Pierre,Jake Shields,-455,405,True,1.2198,0.0,-860,-3,10.159999999999997,14,2,7,0,0,2011-04-30,True,Welterweight,MALE,5,U-DEC,5,0,1,1,0,3,0,0,0,1,Orthodox,182.88,182.88,32,20,0,8,8,2,48,10,5,2,15,Orthodox,180.34,193.04,29,20
Jose Aldo,Mark Hominick,-500,435,True,1.2,0.0,-935,-4,5.0800000000000125,-3,0,-3,0,0,2011-04-30,True,Featherweight,MALE,5,U-DEC,5,0,3,3,0,6,0,1,1,3,Orthodox,172.72,172.72,28,20,0,0,0,0,0,0,0,0,0,Orthodox,170.18,177.8,24,20
Lyoto Machida,Randy Couture,-350,318,True,1.2857,0.0,-668,-15,-2.539999999999992,-8,-5,-3,2,0,2011-04-30,False,Light Heavyweight,MALE,3,KO/TKO,2,0,3,7,7,61,16,6,4,16,Orthodox,185.42,190.5,47,20,2,0,8,2,26,3,2,1,8,Southpaw,185.42,187.96,32,20
Vladimir Matyushenko,Jason Brilz,-102,-108,True,1.9804,0.0,6,5,7.6200000000000045,3,1,1,-1,0,2011-04-30,False,Light Heavyweight,MALE,3,KO/TKO,1,1,0,2,2,14,0,1,0,3,Orthodox,180.34,180.34,35,20,0,1,2,3,21,1,2,0,6,Orthodox,182.88,187.96,40,20
Mark Bocek,Benson Henderson,140,-150,False,0.0,1.6667,290,2,12.699999999999989,5,3,1,0,0,2011-04-30,False,Lightweight,MALE,3,U-DEC,3,0,0,0,0,0,0,0,0,0,Southpaw,175.26,177.8,27,20,0,1,3,3,16,0,0,4,5,Orthodox,172.72,190.5,29,20
Nate Diaz,Rory MacDonald,127,-137,False,0.0,1.7299,264,5,0.0,7,3,0,0,0,2011-04-30,False,Welterweight,MALE,3,U-DEC,3,1,0,1,1,4,0,0,1,1,Orthodox,182.88,193.04,21,20,1,0,5,4,27,1,1,6,8,Southpaw,182.88,193.04,26,20
Jake Ellenberger,Sean Pierson,-200,185,True,1.5,0.0,-385,-9,-12.699999999999989,2,1,2,0,0,2011-04-30,False,Welterweight,MALE,3,KO/TKO,1,0,1,1,0,3,0,0,0,1,Southpaw,182.88,193.04,35,20,0,3,3,1,11,0,1,0,3,Orthodox,175.26,180.34,26,20
Daniel Roberts,Claude Patrick,110,-120,False,0.0,1.8333,230,0,-2.539999999999992,1,1,1,0,0,2011-04-30,False,Welterweight,MALE,3,U-DEC,3,0,2,2,0,5,0,0,1,2,Orthodox,180.34,190.5,30,20,0,3,3,1,6,0,0,2,3,Southpaw,177.8,187.96,30,20
Ivan Menjivar,Charlie Valencia,-185,170,True,1.5405,0.0,-355,-8,0.0,0,1,0,1,0,2011-04-30,False,Bantamweight,MALE,3,KO/TKO,1,0,0,0,0,0,0,0,0,0,Orthodox,160.02,162.56,36,20,1,0,0,1,3,0,0,0,0,Orthodox,167.64,162.56,28,20
Jason MacDonald,Ryan Jensen,115,-125,True,2.15,0.0,240,2,10.159999999999997,3,1,0,2,0,2011-04-30,False,Middleweight,MALE,3,SUB,1,1,0,1,5,10,0,0,2,2,Orthodox,185.42,193.04,33,20,3,0,2,6,20,0,2,3,5,Orthodox,190.5,203.2,35,20
John Makdessi,Kyle Watson,-170,160,True,1.5882,0.0,-330,-6,-5.280000000000001,0,0,0,0,0,2011-04-30,False,Lightweight,MALE,3,KO/TKO,3,0,1,1,0,3,0,0,0,1,Orthodox,182.88,178.0,31,20,0,1,1,0,3,0,0,0,1,Orthodox,172.72,172.72,25,20
Yves Jabouin,Pablo Garza,-160,150,False,0.0,2.5,-310,4,-12.699999999999989,-1,0,-1,0,0,2011-04-30,False,Featherweight,MALE,3,SUB,1,0,1,1,0,1,0,1,0,1,Orthodox,185.42,185.42,27,20,0,0,0,0,0,0,0,0,0,Orthodox,170.18,172.72,31,20
Phil Davis,Rogerio Nogueira,-255,235,True,1.3922,0.0,-490,-8,10.159999999999997,2,-1,4,-1,0,2011-03-26,False,Light Heavyweight,MALE,3,U-DEC,3,1,0,2,1,7,0,1,0,2,Southpaw,187.96,190.5,34,20,0,4,4,0,9,0,0,2,4,Orthodox,187.96,200.66,26,20
Anthony Johnson,Dan Hardy,-173,163,True,1.578,0.0,-336,-1,10.159999999999997,1,1,0,-1,0,2011-03-26,False,Welterweight,MALE,3,U-DEC,3,2,0,4,2,16,1,1,0,4,Orthodox,182.88,187.96,28,20,1,0,3,3,14,0,5,0,5,Orthodox,187.96,198.12,27,20
DaMarques Johnson,Amir Sadollah,220,-240,False,0.0,1.4167,460,-2,2.539999999999992,-1,0,0,0,0,2011-03-26,False,Welterweight,MALE,3,KO/TKO,2,0,1,2,2,14,1,0,1,4,Orthodox,177.8,187.96,30,20,0,1,2,2,8,1,1,2,3,Orthodox,185.42,190.5,28,20
Chan Sung Jung,Leonard Garcia,-125,105,True,1.8,0.0,-230,-7,7.6200000000000045,-2,-2,-1,0,0,2011-03-26,False,Featherweight,MALE,3,SUB,2,0,1,1,2,10,0,0,1,2,Orthodox,177.8,175.26,31,20,0,0,0,0,0,0,0,0,0,Orthodox,170.18,182.88,24,20
Jon Madsen,Mike Russow,-300,250,False,0.0,3.5,-550,-3,-2.539999999999992,2,0,2,0,0,2011-03-26,False,Heavyweight,MALE,3,KO/TKO,2,0,2,2,0,6,0,1,0,2,Orthodox,185.42,185.42,34,20,0,4,4,0,10,0,1,0,4,Orthodox,182.88,182.88,31,20
Alex Caceres,Mackens Semerzier,190,-210,False,0.0,1.4762,400,-8,2.539999999999992,0,0,0,0,0,2011-03-26,False,Featherweight,MALE,3,SUB,1,0,0,0,0,0,0,0,0,0,Orthodox,175.26,182.88,30,20,0,0,0,0,0,0,0,0,0,Southpaw,177.8,185.42,22,20
John Hathaway,Kris McCray,-390,320,True,1.2564,0.0,-710,-6,-2.539999999999992,4,-1,0,-1,0,2011-03-26,False,Welterweight,MALE,3,S-DEC,3,2,0,0,2,3,1,0,0,0,Orthodox,182.88,193.04,29,20,1,0,4,1,13,0,1,0,4,Orthodox,185.42,190.5,23,20
Michael McDonald,Edwin Figueroa,-460,365,True,1.2174,0.0,-825,-6,2.5400000000000205,0,0,0,0,0,2011-03-26,False,Bantamweight,MALE,3,U-DEC,3,0,0,0,0,0,0,0,0,0,Orthodox,170.18,175.26,26,20,0,0,0,0,0,0,0,0,0,Orthodox,175.26,177.8,20,20
Sean McCorkle,Christian Morecraft,180,-220,False,0.0,1.4545,400,10,0.0,1,0,0,0,0,2011-03-26,False,Heavyweight,MALE,3,SUB,2,1,0,0,1,2,0,0,0,0,Orthodox,198.12,205.74,24,20,1,0,1,1,2,0,0,1,1,Orthodox,200.66,205.74,34,20
Johny Hendricks,TJ Waldburger,-325,265,True,1.3077,0.0,-590,5,-15.240000000000009,3,1,-1,1,0,2011-03-26,False,Welterweight,MALE,3,KO/TKO,1,0,1,1,0,3,0,0,0,1,Orthodox,180.34,190.5,22,20,1,0,4,1,12,0,2,0,4,Southpaw,175.26,175.26,27,20
Mario Miranda,Aaron Simpson,175,-210,False,0.0,1.4762,385,-5,2.5400000000000205,-2,0,0,-1,0,2011-03-26,False,Middleweight,MALE,3,U-DEC,3,2,0,3,2,11,0,2,0,3,Orthodox,182.88,185.42,36,20,1,0,1,2,6,0,1,0,1,Orthodox,190.5,187.96,31,20
Waylon Lowe,Nik Lentz,160,-185,False,0.0,1.5405,345,4,1.2800000000000011,-2,0,-1,0,0,2011-03-26,False,Lightweight,MALE,3,SUB,3,0,3,3,1,15,0,0,0,4,Orthodox,172.72,172.72,26,20,0,2,2,1,7,0,0,0,2,Southpaw,170.18,174.0,30,20
Mauricio Rua,Jon Jones,195,-215,False,0.0,1.4651,410,6,-20.32000000000002,-3,1,-2,0,0,2011-03-19,True,Light Heavyweight,MALE,5,KO/TKO,3,0,3,3,1,13,0,2,2,6,Orthodox,193.04,213.36,23,20,0,1,2,2,13,2,3,0,3,Orthodox,185.42,193.04,29,20
Urijah Faber,Eddie Wineland,-400,355,True,1.25,0.0,-755,5,-5.079999999999984,0,0,0,0,0,2011-03-19,False,Bantamweight,MALE,3,U-DEC,3,0,0,0,0,0,0,0,0,0,Orthodox,170.18,175.26,26,20,0,0,0,0,0,0,0,0,0,Orthodox,167.64,170.18,31,20
Jim Miller,Kamal Shalorus,-255,235,True,1.3922,0.0,-490,-11,7.6200000000000045,8,1,6,0,0,2011-03-19,False,Lightweight,MALE,3,KO/TKO,3,0,0,0,0,0,0,0,0,0,Orthodox,172.72,172.72,38,20,0,6,6,1,22,0,1,3,8,Southpaw,172.72,180.34,27,20
Dan Miller,Nate Marquardt,285,-315,False,0.0,1.3175,600,-2,0.0,-4,-1,2,-1,0,2011-03-19,False,Middleweight,MALE,3,U-DEC,3,1,0,4,4,29,1,4,2,9,Orthodox,182.88,187.96,31,20,0,2,3,3,19,0,0,3,5,Orthodox,185.42,187.96,29,20
Luiz Cane,Eliot Marshall,-185,160,True,1.5405,0.0,-345,-1,0.0,0,2,0,1,0,2011-03-19,False,Light Heavyweight,MALE,3,KO/TKO,1,1,0,3,1,10,0,0,1,3,Orthodox,187.96,195.58,30,20,2,0,3,3,9,0,2,0,3,Southpaw,187.96,195.58,29,20
Edson Barboza,Anthony Njokuani,-260,220,True,1.3846,0.0,-480,-6,0.0,1,0,1,0,0,2011-03-19,False,Lightweight,MALE,3,U-DEC,3,0,0,0,0,0,0,0,0,0,Orthodox,185.42,190.5,31,20,0,1,1,0,3,0,1,0,1,Orthodox,180.34,190.5,25,20
Ricardo Almeida,Mike Pyle,-150,130,False,0.0,2.3,-280,-1,0.0,3,2,-1,0,0,2011-03-19,False,Welterweight,MALE,3,U-DEC,3,0,2,2,2,12,0,0,2,3,Orthodox,182.88,187.96,35,20,0,1,3,4,22,0,0,3,6,Orthodox,182.88,187.96,34,20
Kurt Pellegrino,Gleison Tibau,125,-145,False,0.0,1.6897,270,4,-2.539999999999992,0,-1,0,0,0,2011-03-19,False,Lightweight,MALE,3,S-DEC,3,1,0,3,5,28,0,1,2,7,Southpaw,177.8,180.34,27,20,1,0,4,4,25,0,1,4,7,Orthodox,172.72,177.8,31,20
Joseph Benavidez,Ian Loveland,-450,360,True,1.2222,0.0,-810,-1,-12.900000000000006,-1,0,-1,0,0,2011-03-19,False,Bantamweight,MALE,3,U-DEC,3,0,1,1,0,3,0,0,0,1,Orthodox,172.72,178.0,27,20,0,0,0,0,0,0,0,0,0,Southpaw,162.56,165.1,26,20
Erik Koch,Raphael Assuncao,-165,145,True,1.6061,0.0,-310,-6,12.700000000000017,0,0,0,0,0,2011-03-19,False,Featherweight,MALE,3,KO/TKO,1,0,0,0,0,0,0,0,0,0,Orthodox,165.1,167.64,28,20,0,0,0,0,0,0,0,0,0,Southpaw,177.8,180.34,22,20
Diego Sanchez,Martin Kampmann,125,-135,True,2.25,0.0,260,1,0.0,3,1,1,-1,0,2011-03-03,False,Welterweight,MALE,3,U-DEC,3,1,0,4,3,20,0,1,4,8,Orthodox,182.88,182.88,28,20,0,1,6,4,40,2,5,0,11,Southpaw,177.8,182.88,29,20
CB Dollaway,Mark Munoz,160,-170,False,0.0,1.5882,330,-6,10.159999999999997,1,0,2,0,0,2011-03-03,False,Middleweight,MALE,3,KO/TKO,1,0,1,3,2,13,0,2,0,4,Orthodox,182.88,182.88,33,20,0,3,3,2,11,1,1,2,5,Orthodox,187.96,193.04,27,20
Alessio Sakara,Chris Weidman,190,-230,False,0.0,1.4348,420,3,-15.240000000000009,6,5,3,0,0,2011-03-03,False,Middleweight,MALE,3,U-DEC,3,0,0,0,0,0,0,0,0,0,Orthodox,187.96,198.12,26,20,0,3,3,5,16,0,4,0,6,Orthodox,182.88,182.88,29,20
Brian Bowles,Damacio Page,-310,255,True,1.3226,0.0,-565,2,10.160000000000025,0,0,0,0,0,2011-03-03,False,Bantamweight,MALE,3,SUB,1,0,0,0,0,0,0,0,0,0,Orthodox,167.64,167.64,28,20,0,0,0,0,0,0,0,0,0,Orthodox,170.18,177.8,30,20
Steve Cantwell,Cyrille Diabate,-145,125,False,0.0,2.25,-270,-13,-15.240000000000009,0,1,0,1,0,2011-03-03,False,Light Heavyweight,MALE,3,U-DEC,3,1,0,1,1,3,0,1,0,1,Southpaw,198.12,205.74,37,20,2,0,1,2,7,0,0,1,1,Orthodox,187.96,190.5,24,20
Joe Stevenson,Danny Castillo,-130,110,False,0.0,2.1,-240,-3,-2.539999999999992,8,6,0,2,0,2011-03-03,False,Lightweight,MALE,3,U-DEC,3,0,0,0,0,0,0,0,0,0,Orthodox,175.26,180.34,31,20,2,0,4,6,30,2,1,3,8,Orthodox,170.18,177.8,28,20
Thiago Tavares,Shane Roller,105,-115,False,0.0,1.8696,220,-5,-10.159999999999997,5,4,1,0,0,2011-03-03,False,Lightweight,MALE,3,KO/TKO,2,0,0,0,0,0,0,0,0,0,Orthodox,177.8,182.88,31,20,0,1,2,4,23,0,0,2,5,Orthodox,170.18,172.72,26,20
Takeya Mizugaki,Reuben Duran,-225,185,True,1.4444,0.0,-410,0,-2.539999999999992,0,0,0,0,0,2011-03-03,False,Bantamweight,MALE,3,S-DEC,3,0,0,0,0,0,0,0,0,0,Orthodox,170.18,175.26,27,20,0,0,0,0,0,0,0,0,0,Orthodox,170.18,172.72,27,20
Rob Kimmons,Dongi Yang,185,-225,False,0.0,1.4444,410,4,5.079999999999984,3,2,0,0,0,2011-03-03,False,Middleweight,MALE,3,KO/TKO,2,1,0,0,1,3,0,0,0,0,Southpaw,177.8,180.34,26,20,1,0,1,3,11,0,0,2,3,Orthodox,177.8,185.42,30,20
David Branch,Rousimar Palhares,140,-160,False,0.0,1.625,300,-2,17.78,-2,-1,2,-1,0,2011-03-03,False,Middleweight,MALE,3,SUB,2,1,0,3,2,11,0,0,3,4,Orthodox,172.72,180.34,31,20,0,2,2,1,9,0,0,0,2,Orthodox,185.42,198.12,29,20
Igor Pokrajac,Todd Brown,-235,195,True,1.4255,0.0,-430,-2,5.039999999999992,1,2,0,0,0,2011-03-03,False,Light Heavyweight,MALE,3,KO/TKO,1,1,0,0,1,3,0,0,0,0,Orthodox,180.34,188.0,34,20,1,0,1,3,10,0,0,1,1,Orthodox,182.88,193.04,32,20
Michael Bisping,Jorge Rivera,-290,260,True,1.3448,0.0,-550,-7,5.0800000000000125,3,-2,-1,0,0,2011-02-26,False,Middleweight,MALE,3,KO/TKO,2,0,3,3,5,23,0,4,0,7,Orthodox,185.42,185.42,38,20,0,2,4,3,29,1,6,0,10,Orthodox,185.42,190.5,31,20
George Sotiropoulos,Dennis Siver,-360,325,False,0.0,4.25,-685,1,2.539999999999992,1,-4,5,0,0,2011-02-26,False,Lightweight,MALE,3,U-DEC,3,0,2,3,4,20,0,3,2,6,Orthodox,167.64,177.8,32,20,0,7,7,0,15,0,1,4,7,Orthodox,177.8,180.34,33,20
Brian Ebersole,Chris Lytle,260,-320,True,3.6,0.0,580,-6,12.699999999999989,-9,-9,-4,0,0,2011-02-26,False,Welterweight,MALE,3,U-DEC,3,0,4,4,9,42,1,1,5,9,Orthodox,180.34,172.72,36,20,0,0,0,0,0,0,0,0,0,Southpaw,182.88,185.42,30,20
Chris Camozzi,Kyle Noke,170,-185,False,0.0,1.5405,355,-6,0.0,0,0,0,0,0,2011-02-26,False,Middleweight,MALE,3,SUB,1,0,2,2,0,4,0,1,1,2,Southpaw,185.42,193.04,30,20,0,2,2,0,6,0,0,0,2,Orthodox,187.96,193.04,24,20
Ross Pearson,Spencer Fisher,-185,160,True,1.5405,0.0,-345,-8,-2.5400000000000205,-6,-4,-1,1,0,2011-02-26,False,Lightweight,MALE,3,U-DEC,3,0,1,3,5,34,0,2,2,9,Southpaw,170.18,177.8,34,20,1,0,3,1,10,1,0,0,3,Orthodox,172.72,175.26,26,20
Alexander Gustafsson,James Te Huna,-350,290,True,1.2857,0.0,-640,-5,10.159999999999997,1,1,0,0,0,2011-02-26,False,Light Heavyweight,MALE,3,SUB,1,0,1,1,0,3,0,1,0,1,Orthodox,187.96,190.5,29,20,0,1,1,1,4,0,1,1,2,Orthodox,195.58,200.66,24,20
Nick Ring,Riki Fukuda,100,-120,True,2.0,0.0,220,2,2.5400000000000205,0,0,0,0,0,2011-02-26,False,Middleweight,MALE,3,U-DEC,3,0,0,0,0,0,0,0,0,0,Southpaw,182.88,185.42,30,20,0,0,0,0,0,0,0,0,0,Southpaw,182.88,187.96,32,20
Tom Blackledge,Anthony Perosh,-190,165,False,0.0,2.65,-355,-6,5.5,0,-3,0,-3,0,2011-02-26,False,Light Heavyweight,MALE,3,SUB,1,3,0,0,3,6,0,0,0,0,Orthodox,190.5,190.5,38,20,0,0,0,0,0,0,0,0,0,Orthodox,182.88,196.0,32,20
Tiequan Zhang,Jason Reinhardt,-300,250,True,1.3333,0.0,-550,-9,14.800000000000011,0,-1,0,-1,0,2011-02-26,False,Featherweight,MALE,3,SUB,1,1,0,0,1,1,0,0,0,0,Orthodox,167.64,163.0,41,20,0,0,0,0,0,0,0,0,0,Orthodox,172.72,177.8,32,20
Mark Hunt,Chris Tuchscherer,225,-265,True,3.25,0.0,490,1,-10.159999999999997,-1,-1,0,0,0,2011-02-26,False,Heavyweight,MALE,3,KO/TKO,2,1,0,1,2,5,0,0,0,1,Orthodox,187.96,193.04,35,20,1,0,0,1,1,0,0,0,0,Orthodox,177.8,182.88,36,20
Maciej Jewtuszko,Curt Warburton,-155,135,False,0.0,2.35,-290,0,2.5800000000000125,0,-1,0,-1,0,2011-02-26,False,Lightweight,MALE,3,U-DEC,3,1,0,0,1,3,0,0,0,0,Orthodox,182.88,185.42,30,20,0,0,0,0,0,0,0,0,0,Southpaw,182.88,188.0,30,20
Anderson Silva,Vitor Belfort,-210,190,True,1.4762,0.0,-400,2,7.6200000000000045,4,-4,11,0,0,2011-02-05,True,Middleweight,MALE,5,KO/TKO,1,0,1,3,4,18,3,6,1,8,Southpaw,182.88,187.96,33,20,0,12,12,0,29,8,7,3,12,Southpaw,187.96,195.58,35,20
Forrest Griffin,Rich Franklin,118,-128,True,2.18,0.0,246,-5,5.0800000000000125,-5,0,0,0,0,2011-02-05,False,Light Heavyweight,MALE,3,U-DEC,3,0,1,7,4,37,5,8,1,13,Southpaw,185.42,190.5,36,20,0,1,3,4,30,3,1,2,8,Orthodox,190.5,195.58,31,20
Jon Jones,Ryan Bader,-285,258,True,1.3509,0.0,-543,-4,25.400000000000006,0,1,-3,0,0,2011-02-05,False,Light Heavyweight,MALE,3,SUB,2,0,5,5,0,13,1,2,0,5,Orthodox,187.96,187.96,27,20,0,2,3,1,11,0,2,1,5,Orthodox,193.04,213.36,23,20
Jake Ellenberger,Carlos Eduardo Rocha,-280,255,True,1.3571,0.0,-535,-4,2.539999999999992,1,1,1,0,0,2011-02-05,False,Welterweight,MALE,3,S-DEC,3,0,1,1,0,1,0,0,1,1,Orthodox,177.8,177.8,29,20,0,2,2,1,8,0,1,0,2,Orthodox,175.26,180.34,25,20
Miguel Torres,Antonio Banuelos,-320,290,True,1.3125,0.0,-610,-1,33.01999999999998,0,0,0,0,0,2011-02-05,False,Bantamweight,MALE,3,U-DEC,3,0,0,0,0,0,0,0,0,0,Orthodox,165.1,160.02,31,20,0,0,0,0,0,0,0,0,0,Orthodox,175.26,193.04,30,20
Donald Cerrone,Paul Kelly,-275,235,True,1.3636,0.0,-510,1,7.619999999999976,-5,-3,-1,0,0,2011-02-05,False,Lightweight,MALE,3,SUB,2,0,1,2,3,20,0,1,1,5,Orthodox,175.26,177.8,26,20,0,0,0,0,0,0,0,0,0,Orthodox,185.42,185.42,27,20
Chad Mendes,Michihiro Omigawa,-365,305,True,1.274,0.0,-670,-10,-5.0800000000000125,0,-2,0,-2,0,2011-02-05,False,Featherweight,MALE,3,U-DEC,3,2,0,0,2,6,0,0,0,0,Orthodox,167.64,172.72,35,20,0,0,0,0,0,0,0,0,0,Orthodox,167.64,167.64,25,20
Norifumi Yamamoto,Demetrious Johnson,-115,-105,False,0.0,1.9524,-10,9,0.0,0,0,0,0,0,2011-02-05,False,Bantamweight,MALE,3,U-DEC,3,0,0,0,0,0,0,0,0,0,Orthodox,160.02,167.64,24,20,0,0,0,0,0,0,0,0,0,Southpaw,162.56,167.64,33,20
Paul Taylor,Gabe Ruediger,-220,180,True,1.4545,0.0,-400,-2,4.8799999999999955,3,3,0,0,0,2011-02-05,False,Lightweight,MALE,3,KO/TKO,2,2,0,0,2,3,0,0,0,0,Orthodox,177.8,178.0,33,20,2,0,1,5,22,0,1,0,3,Orthodox,182.88,182.88,31,20
Kyle Kingsbury,Ricardo Romero,115,-135,True,2.15,0.0,250,-4,0.0,1,1,1,0,0,2011-02-05,False,Light Heavyweight,MALE,3,KO/TKO,1,0,1,1,0,2,0,0,1,1,Orthodox,182.88,193.04,32,20,0,2,2,1,9,0,0,0,2,Orthodox,193.04,193.04,28,20
Mike Pierce,Kenny Robertson,-240,200,True,1.4167,0.0,-440,4,-10.159999999999997,3,1,2,0,0,2011-02-05,False,Welterweight,MALE,3,KO/TKO,2,0,0,0,0,0,0,0,0,0,Orthodox,177.8,187.96,26,20,0,2,2,1,12,0,0,1,3,Orthodox,172.72,177.8,30,20
